original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Moffett (Cleveland)—The Conquest of America : a romance of disaster and victory, U.S.A., 1921, A.D. Based on extracts fr. the diary of James E. Langston, war correspondent of the London “ Times."" Svo. 81x53, pp. 310, 6s. HODDER & S., July 16",156,164,,Moffett (Cleveland),"The Conquest of America : a romance of disaster and victory, U.S.A., 1921, A.D. Based on extracts fr. the diary of James E. Langston, war correspondent of the London “ Times.""",Svo.,"81x53, pp. 310, 6s.",HODDER & S.,July 16
"Moles worth (Mrs.) --Edmée : a tale of the French Revolution. New ed. Cr. 8vo. 7! X 5, pp. 255. MACMILLAN, Oct. 16",156,164,,Moles worth (Mrs.),Edmée : a tale of the French Revolution. New ed.,Cr. 8vo.,"7! X 5, pp. 255.",MACMILLAN,Oct. 16
"Moles worth (Sir G.)-German trade-war on England. Cr. 8vo., swd., id. ODHAMS, Apr. 16",156,164,,Moles worth (Sir G.),German trade-war on England.,Cr. 8vo.,"swd., id.",ODHAMS,Apr. 16
"Moles worth's and Hurst's Pocket bk. of pocket books. 32mo. 128. 6d. net ...SPON, Aug. 16",156,164,,,Moles worth's and Hurst's Pocket bk. of pocket books.,32mo.,128. 6d. net ...,SPON,Aug. 16
"Moles worth's Pocket bk. of useful formulæ and memoranda for civil, mechanical and electrical engineers. 32mo., 6s, net ......SPON, Aug. 16",156,164,,,"Moles worth's Pocket bk. of useful formulæ and memoranda for civil, mechanical and electrical engineers.",32mo.,"6s, net ......SPON,",,Aug. 16
"Molgar (Don Francisco Martin)-Germany and Spain. Trans. fr, Spanish, w. intro. and notes by Thomas Okey. Cr. 8vo. 71x41, pp. 192, IS. 6d. net UNWIN, June 16",151,159,,Molgar (Don Francisco Martin),"Germany and Spain. Trans. fr, Spanish, w. intro. and notes by Thomas Okey.",Cr. 8vo.,"71x41, pp. 192, IS. 6d. net",UNWIN,June 16
"Mollono (Sydney H.)-Eternal life here and hereafter. 71 X 5, pp. 299, 28. net (Mod. hdbks. of relig.). .LINDSEY PR., Nov. 16",151,159,,Mollono (Sydney H.),Eternal life here and hereafter.,,"71 X 5, pp. 299, 28. net (Mod. hdbks. of relig.). .",LINDSEY PR.,Nov. 16
"Mon, women, and guns. By “ Sapper.” Cr. 8vo. 71 x 57, pp. 311, 5s. net HODDER & S., Sep. 16",151,159,,,"Mon, women, and guns. By "" Sapper.""",Cr. 8vo.,"71 x 57, pp. 311, 5s. net",HODDER & S.,Sep. 16
"Moncrieff (Margaret)–Our cottage and a motor. Cr. 8vo. 74* 5, pp. 164, 35. 6d. net ALLEN & U., Mar. 16",156,164,,Moncrieff (Margaret),Our cottage and a motor.,Cr. 8vo.,"74* 5, pp. 164, 35. 6d. net",ALLEN & U.,Mar. 16
"Monkhouse (Allan)-War plays. 8vo. pp. 96, 28. 6d, net; Swd. 28. net. (New poetry ser.) CONSTABLE, Sep. 16",156,164,,Monkhouse (Allan),War plays.,8vo.,"pp. 96, 28. 6d, net; Swd. 28. net. (New poetry ser.)",CONSTABLE,Sep. 16
"Monro (Harold)— Trees. Small 4to. 9 X 7, pp. 16, 28. 6d. net ......POETRY BOOKSHOP, Dec. 15",156,164,,Monro (Harold),Trees.,Small 4to.,"9 X 7, pp. 16, 28. 6d. net",POETRY BOOKSHOP,Dec. 15
"Monro (Harold)—Children of love, 2nd ed. 8vo., pp. 32, swd., 6d. net POETRY BOOKSHOP, Apr. 16",156,164,,Monro (Harold),"Children of love, 2nd ed.",8vo.,"pp. 32, swd., 6d. net",POETRY BOOKSHOP,Apr. 16
"Montagu (Edwin)—The Means of victory: a speech. Cr. 8vo. 71 X 48, swd. 6d. net UNWIN, Dec, 16",156,164,,Montagu (Edwin),The Means of victory: a speech.,Cr. 8vo.,"71 X 48, swd. 6d. net",UNWIN,"Dec, 16"
"Montagu-Nathan (M.)--- Rimsky-Korsakof. 8vo. 87 x6, pp. 85, 28. net. (Masters of Russian music) CONSTABLE, Nov. 16",157,165,,Montagu-Nathan (M.),Rimsky-Korsakof.,8vo.,"87 x6, pp. 85, 28. net. (Masters of Russian music)",CONSTABLE,Nov. 16
"Montagu-Nathan (M.)--An Introduction to Russian music. Cr. 8vo. 71 X5, pp. 71, IS. 6d. net PALMER & H., Nov. 16",157,165,,Montagu-Nathan (M.),An Introduction to Russian music.,Cr. 8vo.,"71 X5, pp. 71, IS. 6d. net",PALMER & H.,Nov. 16
"Montagu-Nathan (M.)-Glinka. 8vo, 87 x6, pp. 85, 2s. net. (Masters of Russian music) CONSTABLE, Nov. 16",156,164,,Montagu-Nathan (M.),Glinka.,"8vo,","87 x6, pp. 85, 2s. net. (Masters of Russian music)",CONSTABLE,Nov. 16
