original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Mulholland (Rcsa)--O'Loghlin of Clare. Cr. 8vo. 71 x 48, pp. 260, 3s. 6d. net ..SANDS, May 16",159,167,,Mulholland (Rcsa),O'Loghlin of Clare.,Cr. 8vo.,"71 x 48, pp. 260, 3s. 6d. net ..",SANDS,May 16
"Mulholland (Rosa) (Lady Gilbert)-Dreams and realities. Cr. 8vo. 8 X 54, pp. 128, 58. net SANDS, Nov. 16",159,167,,Mulholland (Rosa) (Lady Gilbert),Dreams and realities.,Cr. 8vo.,"8 X 54, pp. 128, 58. net",SANDS,Nov. 16
"Mullens (W. H.) and Swann (H. Kirke)-A Bibliography of British ornithology : fr. earliest times to the end of 1912. [In about 6 bi-monthly pts. Pts. 1-4, 8vo.9 x 61, ea. 6s. net MACMILLAN, June-Dec., 16",159,167,,Mullens (W. H.) and Swann (H. Kirke),A Bibliography of British ornithology : fr. earliest times to the end of 1912.,8vo.,"[In about 6 bi-monthly pts. Pts. 1-4, 9 x 61, ea. 6s. net",MACMILLAN,"June-Dec., 16"
"Müller (F. Max) and Jörgensen (A. D.)-The Schleswig-Holstein question and its place in history. By F. M. M.; The Danish view of the Slesvig-Holstein question. By A. D. J: 91 x6, pp. 20, 6d. net ..SPOTTISWOODE, July 16",159,167,,Müller (F. Max) and Jörgensen (A. D.),The Schleswig-Holstein question and its place in history. By F. M. M.; The Danish view of the Slesvig-Holstein question. By A. D. J:,,"91 x6, pp. 20, 6d. net ..",SPOTTISWOODE,July 16
"Mulliken (Samuel Parsons)-A Method for the identification of pure organic compounds. Vol. 2. Ryl. 8vo. 103 x6, 215. net CHAPMAN & H., June 16",159,167,,Mulliken (Samuel Parsons),A Method for the identification of pure organic compounds. Vol. 2.,Ryl. 8vo.,"103 x6, 215. net",CHAPMAN & H.,June 16
"Mumby (F. A.) ed.—The Great world war : a hist. Pts. 8–14, 98 x 71, ea. 2s. 6d. net GRESHAM PUB. Co., Jan.-Dec. 16",160,168,,Mumby (F. A.) ed.,"The Great world war : a hist. Pts. 8–14,",,"98 x 71, ea. 2s. 6d. net",GRESHAM PUB. Co.,Jan.-Dec. 16
"Mumford (Edith E. R.)-- The Dawn of religion in the mind of the child : a study of child life. Cr. 8vo. 78 x 54, pp. 123, Is. 6d. net LONGMANS, Jan. 16",160,168,,Mumford (Edith E. R.),The Dawn of religion in the mind of the child : a study of child life.,Cr. 8vo.,"78 x 54, pp. 123, Is. 6d. net",LONGMANS,Jan. 16
"Mumford (John Kimberly)---Oriental rugs. 4th ed. 4to. 101 x 7, 318. 6d. net ....S. LOW, Feb. 16",160,168,,Mumford (John Kimberly),Oriental rugs. 4th ed.,4to.,"101 x 7, 318. 6d. net ....",S. LOW,Feb. 16
"Mundesley Bible Conference, 1916—Report of sermons and lectures. 8vo. 84 x 54, pp. 350, 25. 6d. net, swd. is. 6d. net MORGAN &S., Oct.16",160,168,,,"Mundesley Bible Conference, 1916—Report of sermons and lectures.",8vo.,"84 x 54, pp. 350, 25. 6d. net, swd. is. 6d. net",MORGAN &S.,Oct.16
"Mundy (Talbot)—The Winds of the world. Cr. 8vo. 8 X 5, pp. 310, 6s. ..CASSELL, Mar. 16",160,168,,Mundy (Talbot),The Winds of the world.,Cr. 8vo.,"8 X 5, pp. 310, 6s. ..",CASSELL,Mar. 16
"Munitions of war-Notes on the employment of ...WYMAN, Feb. 16",160,168,,,Munitions of war-Notes on the employment of ...,,,WYMAN,Feb. 16
"Munnik (G. G.)-Major Greville, V.C.: a tale of the great Boer War. Uniform ed. Cr. 8vo. 78 x 5, pp. 318, 2s. net....... .S. LOW, Dec. 15",160,168,,Munnik (G. G.),"Major Greville, V.C.: a tale of the great Boer War. Uniform ed.",Cr. 8vo.,"78 x 5, pp. 318, 2s. net....... .",S. LOW,Dec. 15
"Munro (John) and Jamieson (Andrew)-Pocket- book of electrical rules and tables for the use of electricians and engineers. 9th ed. rev. Obl. 18mo. 31* 41, pp. 840, 1thr. 6s. net C. GRIFFIN, Apr. 16",160,168,,Munro (John) and Jamieson (Andrew),Pocket- book of electrical rules and tables for the use of electricians and engineers. 9th ed. rev.,Obl. 18mo.,"31* 41, pp. 840, 1thr. 6s. net",C. GRIFFIN,Apr. 16
"Munro (R. W.) and Brown (L. C.)-A Prac. guide to coco-nut planting. 71 X5, pp. 206, 75. 6d. net ....J. BALE, Dec. 16",160,168,,Munro (R. W.) and Brown (L. C.),A Prac. guide to coco-nut planting.,,"71 X5, pp. 206, 75. 6d. net ....",J. BALE,Dec. 16
"Munro (William Bennett)--Principles and methods of municipal administration. 8vo. 81 x 51, IOS. net . MACMILLAN, May 16",160,168,,Munro (William Bennett),Principles and methods of municipal administration.,8vo.,"81 x 51, IOS. net .",MACMILLAN,May 16
"Munro's Marine engineers' annual pocket log and diary; w. which is incorporated Donald- son's Engineers' annual, 1916. Ed. by J. K. Munro. Cr. 8vo. 77 X 48, pp. 318, bds. is. net J. MUNRO, Jan. 16",160,168,,,"Munro's Marine engineers' annual pocket log and diary; w. which is incorporated Donald- son's Engineers' annual, 1916. Ed. by J. K. Munro.",Cr. 8vo.,"77 X 48, pp. 318, bds. is. net",J. MUNRO,Jan. 16
"Munson, (Arley)-Kipling's India. Ryl. 8vo. 97x67, pp. 216, 6s. net ......NASH, June 16",160,168,,"Munson, (Arley)",Kipling's India.,Ryl. 8vo.,"97x67, pp. 216, 6s. net ......NASH,",,June 16
"Munsterberg (Hugo)-The Photoplay: a psycho- logical study, Cr. 8vo. 71 x 5, 3s. 6d. net APPLETON, June 16",160,168,,Munsterberg (Hugo),"The Photoplay: a psycho- logical study,",Cr. 8vo.,"71 x 5, 3s. 6d. net",APPLETON,June 16
"Murder of Captain Fryatt (The). 73 x 44, pp. 47, zd. Det HODDER & S., S-h, 16",160,168,,,Murder of Captain Fryatt (The).,,"73 x 44, pp. 47, zd. Det",HODDER & S.,"S-h, 16"
"Murdock (Joseph)-Microscopical determination of the opaque minerals : an aid to the study of ores. Ist ed. 8vo. 8s. 6d. net. CHAPMAN & H., July 16",160,168,,Murdock (Joseph),Microscopical determination of the opaque minerals : an aid to the study of ores. Ist ed.,8vo.,8s. 6d. net.,CHAPMAN & H.,July 16
"Murphy (Edmund Stephen)—The Blessed Virgin's book; or, Bernadette's mission, and my mission book for Catholics and non-Catholics. Cr. 8vo. 8 X 5, 1os. 6d. net .ROUTLEDGE, Nov. 16",160,168,,Murphy (Edmund Stephen),"The Blessed Virgin's book; or, Bernadette's mission, and my mission book for Catholics and non-Catholics.",Cr. 8vo.,"8 X 5, 1os. 6d. net .",ROUTLEDGE,Nov. 16
"Murphy (J. C. B.)— Till the night is gone. Cheaper ed. Cr. 8vo. 71 x 44, 25. 6d. net SKEFFINGTON, Aug. 16",160,168,,Murphy (J. C. B.),Till the night is gone. Cheaper ed.,Cr. 8vo.,"71 x 44, 25. 6d. net",SKEFFINGTON,Aug. 16
"Murphy (William S.)-In memoriam : Edith Cavell. 8vo. 81 x 54, swd. 6d. net F. & E. STONEHAM, May 16",160,168,,Murphy (William S.),In memoriam : Edith Cavell.,8vo.,"81 x 54, swd. 6d. net",F. & E. STONEHAM,May 16
