original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Consular reports--Bordeaux (map), itd. ; New Caledonia (map), itd.; Nagasaki (map), 2d. ; Oporto (map), 2d.; Cyclades (map), 24d. ; Saigon (map), 2d. ; Seistan and Kain (map), 2d.; Distr. of Portland (Oregon) (map), 5d.; Mengtzu (map), 1 d.; Boston (map), 4d.; Distr. of Baltimore (map), 3 d. ; Odessa (map), 5d.; Chefoo (map), itd.; Hankow (map): 20.; Society Islands, id. .WYMAN, Jan. 16",54,62,,,"Consular reports--Bordeaux (map), itd. ; New Caledonia (map), itd.; Nagasaki (map), 2d. ; Oporto (map), 2d.; Cyclades (map), 24d. ; Saigon (map), 2d. ; Seistan and Kain (map), 2d.; Distr. of Portland (Oregon) (map), 5d.; Mengtzu (map), 1 d.; Boston (map), 4d.; Distr. of Baltimore (map), 3 d. ; Odessa (map), 5d.; Chefoo (map), itd.; Hankow (map): 20.; Society Islands, id.",,,.WYMAN,Jan. 16
"Consular reports--Pakhoi, Trade, 1914 (map), ifd.; Patras, Trade, 1914 (map), itd.; Per- nambuco, Trade, 1914 (map), 24d.; Farcë Islands and Iceland, Trade, 1914, 2 d. WYMAN, Mar. 16",54,62,,,"Consular reports--Pakhoi, Trade, 1914 (map), ifd.; Patras, Trade, 1914 (map), itd.; Per- nambuco, Trade, 1914 (map), 24d.; Farcë Islands and Iceland, Trade, 1914, 2 d.",,,WYMAN,Mar. 16
"Consular reports-Morocco (map), 4d. ; Port Said (map), 2d.; Hakodate (map), 2d. ; Chinde (map), itd.; French Congo (map), 14d. ; Wuchow (map), itd.; Bulgaria (map), 1.d.; Canton, id.; Osaka (map), 21d.; St. Louis (map), 3d.; Philippine Islands, 2d. ; Lisbon (inap), 2 d.; Persia, ijd. ; Shimonoseki (map), i d.; Tsinan and Tsingtau, įd.; Ciudad Bolivar (map), itd.; Katanga, id.; Isfahan (map), 31d.; Vera Cruz, id.; Calais, id. ; Para, 2d.; Angola (map), 14d. WYMAN, Nov. 15",53,61,,,"Consular reports-Morocco (map), 4d. ; Port Said (map), 2d.; Hakodate (map), 2d. ; Chinde (map), itd.; French Congo (map), 14d. ; Wuchow (map), itd.; Bulgaria (map), 1.d.; Canton, id.; Osaka (map), 21d.; St. Louis (map), 3d.; Philippine Islands, 2d. ; Lisbon (inap), 2 d.; Persia, ijd. ; Shimonoseki (map), i d.; Tsinan and Tsingtau, įd.; Ciudad Bolivar (map), itd.; Katanga, id.; Isfahan (map), 31d.; Vera Cruz, id.; Calais, id. ; Para, 2d.; Angola (map), 14d.",,,WYMAN,Nov. 15
"Consular reports-Porto Rico (map), 2d. ; Yoko- hama (map), 2fd.; Finland (map), 3d.; Savannah (map), 3d. ; Costa Rica (map), itd.; Bahrein Islands, 2 d. ; Chiengmai (map), 2d. ; Lourenço Marques, &c., 3d. ; Tangier (map), 3}d.; Tachieulu, id. ; Corunna (Vigo) (map), . WYMAN, Feb. 16",54,62,,,"Consular reports-Porto Rico (map), 2d. ; Yoko- hama (map), 2fd.; Finland (map), 3d.; Savannah (map), 3d. ; Costa Rica (map), itd.; Bahrein Islands, 2 d. ; Chiengmai (map), 2d. ; Lourenço Marques, &c., 3d. ; Tangier (map), 3}d.; Tachieulu, id. ; Corunna (Vigo) (map), .",,,WYMAN,Feb. 16
"Consular reports, 1914—Gulf of Guinea (Spanish poss.) (map), itd.; Rotterdam and consular posts in Netherlands (map), 3 d. ; Rome, 1}d.; Réunion, id. ; Havre, itd.; Venezuela and Caracas (map), 3d.; Norway (supp.), itd. WYMAN, Dec. 15",54,62,,,"Consular reports, 1914—Gulf of Guinea (Spanish poss.) (map), itd.; Rotterdam and consular posts in Netherlands (map), 3 d. ; Rome, 1}d.; Réunion, id. ; Havre, itd.; Venezuela and Caracas (map), 3d.; Norway (supp.), itd.",,,WYMAN,Dec. 15
"Contemptible."" By “ Casualty.” Cr. 8vo. 71 x 44pp. 232, 35. 60. net HEINEMANN, June 16",54,62,,,"Contemptible."" By "" Casualty.""",Cr. 8vo.,"71 x 44pp. 232, 35. 60. net",HEINEMANN,June 16
"Contentio veritatis : essays in constructive theology. By Six Oxford Tutors. 8vo. 9 X 51, pp. 320, 25. 6d. net ......J. MURRAY, Nov. 16",54,62,,,Contentio veritatis : essays in constructive theology. By Six Oxford Tutors.,8vo.,"9 X 51, pp. 320, 25. 6d. net",J. MURRAY,Nov. 16
"Conveyancer (The). Vol. 1, Dec., 1915, to May, 1916. 101 X 8, pp. 271, 18s. 6d. net. 1-lthr., 205, net.. ..SWEET & M., June 16",54,62,,,"Conveyancer (The). Vol. 1, Dec., 1915, to May, 1916.",,"101 X 8, pp. 271, 18s. 6d. net. 1-lthr., 205, net.. ..",SWEET & M.,June 16
"Convocation. See under York Jl. of C. Conway (Hugh)-Called back. Cr. 8vo. 71x4}, pp. 194, IS. net .UNWIN, Oct. 16",54,62,Convocation. See under York Jl. of C. ,Conway (Hugh),Called back.,Cr. 8vo.,"71x4}, pp. 194, IS. net .",UNWIN,Oct. 16
"Conway (R. S.)—The Youth of Virgil: a lecture. Ryl. 8vo., swd. 6d. net ..LONGMANS, Sep. 16",54,62,,Conway (R. S.),The Youth of Virgil: a lecture.,Ryl. 8vo.,swd. 6d. net ..,LONGMANS,Sep. 16
