original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Bradford (Edward H.) and Lovett (Robert W.) Orthopedic surgery. 5th ed. 8vo. 91 x 61, I5S. net . BAILLIÈRE, Mar. 16",30,38,,Bradford (Edward H.) and Lovett (Robert W.),Orthopedic surgery. 5th ed.,8vo.,"91 x 61, I5S. net .",BAILLIÈRE,Mar. 16
"Bradford (Gamaliel) - Union portraits. Cr. 8vo. 71 x 5, 6s. 6d. net . CONSTABLE, Nov. 16",30,38,,Bradford (Gamaliel),Union portraits.,Cr. 8vo.,"71 x 5, 6s. 6d. net .",CONSTABLE,Nov. 16
"Bradley (A. G.)—The Wye. 8vo. 9 x64, pp. 64, is. 6d. ret (Beautiful Britain) BLACK, Apr. 16",30,38,,Bradley (A. G.),The Wye.,8vo.,"9 x64, pp. 64, is. 6d. ret (Beautiful Britain)",BLACK,Apr. 16
"Bradley (Alfred)-Physical training for boy scouts. 18mo. 5* X4, pp. 68, swd. 6d. net J. BROWN, Mar. 16",30,38,,Bradley (Alfred),Physical training for boy scouts.,18mo.,"5* X4, pp. 68, swd. 6d. net",J. BROWN,Mar. 16
"Bradley (H.)—The Numbered sections in old English poetical MSS. Ryl. 8vo. 98 x6, pp. 24, is. 6d. net. (British Academy) MILFORD, July 16",30,38,,Bradley (H.),The Numbered sections in old English poetical MSS.,Ryl. 8vo.,"98 x6, pp. 24, is. 6d. net. (British Academy)",MILFORD,July 16
"Bradley-Birt (F. B.)--Martha in wartime. Fore- word by H.E. Lady Carmichael. Cr. 8vo. 78 x 51, pp. 116, swd. 18. net THACKER, Jan, 16",31,39,,Bradley-Birt (F. B.),Martha in wartime. Fore- word by H.E. Lady Carmichael.,Cr. 8vo.,"78 x 51, pp. 116, swd. 18. net",THACKER,"Jan, 16"
"Bradney (J. A., Col.)--Carmina jocosa. pp. 25, 35. 6d..... MITCHELL, II. & C., Aug. 16",31,39,,"Bradney (J. A., Col.)",Carmina jocosa.,,"pp. 25, 35. 6d.....","MITCHELL, II. & C.",Aug. 16
"Bradshaw's General railway and steam navigation guide. Monthly. Ea. is. net BLACKLOCK, 1916 Bradshaw's Railway manual, shareholders' guide, and official directory, 1916. Ed. by Herbert H. Bassett. Cr. 8vo. 74 x 44, pp. 734, 125. BLACKLOCK, Mar. 16",31,39,,,Bradshaw's General railway and steam navigation guide.,,Monthly. Ea. is. net,BLACKLOCK,1916
"Bradshaw's General railway and steam navigation guide. Monthly. Ea. is. net BLACKLOCK, 1916 Bradshaw's Railway manual, shareholders' guide, and official directory, 1916. Ed. by Herbert H. Bassett. Cr. 8vo. 74 x 44, pp. 734, 125. BLACKLOCK, Mar. 16",31,39,,,"Bradshaw's Railway manual, shareholders' guide, and official directory, 1916. Ed. by Herbert H. Bassett.",Cr. 8vo.,"74 x 44, pp. 734, 125.",BLACKLOCK,Mar. 16
"Brady (Cyrus T.)-And thus He came. Cr. 8vo. 7** 5), pp. 103, 3s. 6d. net..PUTNAM, Dec. 16",31,39,,Brady (Cyrus T.),And thus He came.,Cr. 8vo.,"7** 5), pp. 103, 3s. 6d. net..",PUTNAM,Dec. 16
