original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Lutz (Grace L. H.)- The Obsession of Victoria Gracen. Cr. 8vo.74 x 5,65. LIFPINCOTT, Mar. 16",139,147,,Lutz (Grace L. H.),The Obsession of Victoria Gracen.,Cr. 8vo.,"74 x 5,65.",LIFPINCOTT,Mar. 16
"Lutz (Grace L. H.)-A Voice in the wilderness : a novel. Cr. 8vo. 74 X5, 6s.....HARPER, Oct. 16",139,147,,Lutz (Grace L. H.),A Voice in the wilderness : a novel.,Cr. 8vo.,"74 X5, 6s.....",HARPER,Oct. 16
"Lutz (Grace L. H.)-The Finding of Jasper Holt. 7* *57, pp. 272, 6s. ..LIPPINCOTT, J uly 16",139,147,,Lutz (Grace L. H.),The Finding of Jasper Holt.,,"7* *57, pp. 272, 6s. ..",LIPPINCOTT,J uly 16
"Lyall (David)—The Land of Beulah. Cr. 8vo. 78 x 5, pp. 287, 6s. ...HODDER & S., Aug. 16",139,147,,Lyall (David),The Land of Beulah.,Cr. 8vo.,"78 x 5, pp. 287, 6s. ...",HODDER & S.,Aug. 16
"Lyall (Edna)-Hope the hermit: a romance of Borrowdale. Cheap ed. 8vo. 81 x 54, pp. 162, swd. 6d. . PEARSON, Apr. 16",140,148,,Lyall (Edna),Hope the hermit: a romance of Borrowdale. Cheap ed.,8vo.,"81 x 54, pp. 162, swd. 6d. .",PEARSON,Apr. 16
"Lyle (Marius) --Unhappy in thy daring. Cr. 8vo. 73x44, pp. 480, 55. net ..MELROSE, Mar. 16",140,148,,Lyle (Marius),Unhappy in thy daring.,Cr. 8vo.,"73x44, pp. 480, 55. net ..",MELROSE,Mar. 16
"Lyle (William T.)--Parks and park engineering. 8vo. 94 X 6, 5s. 6d. net CHAPMAN & H., June 16",140,148,,Lyle (William T.),Parks and park engineering.,8vo.,"94 X 6, 5s. 6d. net",CHAPMAN & H.,June 16
"Lyly (John)-Euphues, the anatomy of wit ; Euphues and his England. Ed. by M. W. Croll and Harry Clemons. Cr. 8vo. 8 X 5, pp. 537, 6s. net. ROUTLEDGE, Nov. 16",140,148,,Lyly (John),"Euphues, the anatomy of wit ; Euphues and his England. Ed. by M. W. Croll and Harry Clemons.",Cr. 8vo.,"8 X 5, pp. 537, 6s. net.",ROUTLEDGE,Nov. 16
"Lynch (Bohun)-The Complete gentleman. Cr. 8vo. 73 x 5, pp. 402, 6s. ... SECKER, Apr. 16",140,148,,Lynch (Bohun),The Complete gentleman.,Cr. 8vo.,"73 x 5, pp. 402, 6s. ...",SECKER,Apr. 16
"Lynch (George)—War wire. Cr. 8vo. 71x41, pp. 88, swd. is. net ...BIRD, Mar. 16",140,148,,Lynch (George),War wire.,Cr. 8vo.,"71x41, pp. 88, swd. is. net",BIRD,Mar. 16
"Lynch (Lawrence L.)-A Sealed verdict. 18mo. 64 x43, pp. 252, 7d. net ...LONG, Aug. 16",140,148,,Lynch (Lawrence L.),A Sealed verdict.,18mo.,"64 x43, pp. 252, 7d. net ...",LONG,Aug. 16
"Lynd (Sylvia)— The Thrush and the jay. 8vo. 9x6, pp. 165, 5s. net .... CONSTABLE, Dec. 16",140,148,,Lynd (Sylvia),The Thrush and the jay.,8vo.,"9x6, pp. 165, 5s. net ....",CONSTABLE,Dec. 16
"Lynd (Sylvia)—The Chorus : a tale of love and folly. Cr. 8vo. 71 X 5, pp. 320, 6s. CONSTABLE, Jan. 16",140,148,,Lynd (Sylvia),The Chorus : a tale of love and folly.,Cr. 8vo.,"71 X 5, pp. 320, 6s.",CONSTABLE,Jan. 16
"Lynn (Escott)-Oliver Hastings, V.C. Cr. 8vo. 7tx 51, pp. 404, 5S. CHAMBERS, Oct. 16",140,148,,Lynn (Escott),"Oliver Hastings, V.C.",Cr. 8vo.,"7tx 51, pp. 404, 5S.",CHAMBERS,Oct. 16
"Lyon (W. S. S.)-Easter at Ypres, 1915, and other poems. Cr. 8vo. 78 x 5ł, pp. 148, 25. 6d. net MACLEHOSE, Aug. 16",140,148,,Lyon (W. S. S.),"Easter at Ypres, 1915, and other poems.",Cr. 8vo.,"78 x 5ł, pp. 148, 25. 6d. net",MACLEHOSE,Aug. 16
"Lyons (A. Neil) — Moby Lane and thereabouts. Cr. 8vo. 71 x 44, pp. 344, 6s.....LANE, Jan, 16",140,148,,Lyons (A. Neil),Moby Lane and thereabouts.,Cr. 8vo.,"71 x 44, pp. 344, 6s.....",LANE,"Jan, 16"
"Lyons (A. Neil)-A Kiss from France. Cr. 8vo. 71 X 5, pp. 252, IS. 3d. net HODDER & S., Sep. 16",140,148,,Lyons (A. Neil),A Kiss from France.,Cr. 8vo.,"71 X 5, pp. 252, IS. 3d. net",HODDER & S.,Sep. 16
"Lyons (J.)-Sons of the Empire, and cther poems. 74 X 5, pp. 62, is, net.. .HEYWOOD, May 16",140,148,,Lyons (J.),"Sons of the Empire, and cther poems.",,"74 X 5, pp. 62, is, net.. .",HEYWOOD,May 16
"Lysaght (Edward E.)—Sir Horace Plunkett and his place in the Irish nation. Cr. 8vo. 7} x 5, pp. 160, 2s. 6d. net. (Irishmen of to-day) MAUNSEL, Sep. 16",140,148,,Lysaght (Edward E.),Sir Horace Plunkett and his place in the Irish nation.,Cr. 8vo.,"7} x 5, pp. 160, 2s. 6d. net. (Irishmen of to-day)",MAUNSEL,Sep. 16
"M'Crindle (Quintin) - Jock. Cr. 8vo.7} X 5, pp. 158, 25. net, swd. is, net ....A. GARDNER, Apr. 16",140,148,,M'Crindle (Quintin),Jock.,Cr. 8vo.,"7} X 5, pp. 158, 25. net, swd. is, net ....",A. GARDNER,Apr. 16
"M'Intosh (John Geddes) -The Technology of sugar. 3rd ed., rev. 8vo. 84x5, pp: 542, I2s. 6d. net ....SCOTT, GREENWOOD, Mar. 16",141,149,,M'Intosh (John Geddes),"The Technology of sugar. 3rd ed., rev.",8vo.,"84x5, pp: 542, I2s. 6d. net ....","SCOTT, GREENWOOD",Mar. 16
"M'Kerlie (Marianne H.)--Pilgrim spots in Galloway. Cr. 8vo. 75 X 4$, 5s. net SANDS, Vov. 16",142,150,,M'Kerlie (Marianne H.),Pilgrim spots in Galloway.,Cr. 8vo.,"75 X 4$, 5s. net",SANDS,Vov. 16
"M'Mlllan (William)-Scottish symbois, royal, national, and ecclesiastical : their history and heraldic significance. Small 4to. 81 x64, pp. 336, 78. 6d. net ...A. GARDNER, Apr. 16",143,151,,M'Mlllan (William),"Scottish symbois, royal, national, and ecclesiastical : their history and heraldic significance.",Small 4to.,"81 x64, pp. 336, 78. 6d. net",A. GARDNER,Apr. 16
"M6 Imbo (Prosper)-Carmen. Tr. by A. E. Johnson. Illus. by René Bull. n**8), pp. 212, 2IS. net ..HUTCHINSON, Nov. 16",151,159,M6 ,Imbo (Prosper),Carmen. Tr. by A. E. Johnson. Illus. by René Bull.,n**8),"pp. 212, 2IS. net ..",HUTCHINSON,Nov. 16
"Mac Coll (D. S.)--A German peace. 8vo. 8* X7, pp. 7, 6d. net. . MACLEHOSE, July 16",140,148,,Mac Coll (D. S.),A German peace.,8vo.,"8* X7, pp. 7, 6d. net. .",MACLEHOSE,July 16
"Mac Donagh (Thomas)-Literature in Ireland : studies Irish and Anglo-Irish. 8vo. 8+X54, pp. 263, 6s. net ...UNWIN, June 16",140,148,,Mac Donagh (Thomas),Literature in Ireland : studies Irish and Anglo-Irish.,8vo.,"8+X54, pp. 263, 6s. net ...",UNWIN,June 16
"Mac Donagh (Thomas)-Songs of myself. Cr. 8vo. 7* X 5, PP. 52, 25. net HODGES, F., June 16",140,148,,Mac Donagh (Thomas),Songs of myself.,Cr. 8vo.,"7* X 5, PP. 52, 25. net","HODGES, F.",June 16
"Macaulay (F. S.)--The Algebraic theory of modular systems. 8vo. 81 x 54, pp. 126, 43. 6d. net (Camb. tracts in math.) CAMB. UNIV. PR., Aug. 16",140,148,,Macaulay (F. S.),The Algebraic theory of modular systems.,8vo.,"81 x 54, pp. 126, 43. 6d. net (Camb. tracts in math.)",CAMB. UNIV. PR.,Aug. 16
"Macaulay (Rose)-Non-combatants and others. Cr. 8vo. 71 X 5, pp. 316, 5s. net HODDER & S., Aug. 16",140,148,,Macaulay (Rose),Non-combatants and others.,Cr. 8vo.,"71 X 5, pp. 316, 5s. net",HODDER & S.,Aug. 16
"MacCartan (Hugh A.)---The Little white roads and other poems. 71 x 5, pp. 72, 2s. 6d. net HEATH, C., Dec. 16",140,148,,MacCartan (Hugh A.),The Little white roads and other poems.,,"71 x 5, pp. 72, 2s. 6d. net","HEATH, C.",Dec. 16
"MacCarthaigh (Diarmada Seain Buidhe) Amhrain Tadhg o Donnchadh a do cuir in-eagar. 8vo. 10 X 63, cloth 2s. 6d. net ; swd. is. 6d. net M. H. GILL, Nov. 16",140,148,,MacCarthaigh (Diarmada Seain Buidhe),Amhrain Tadhg o Donnchadh a do cuir in-eagar.,8vo.,"10 X 63, cloth 2s. 6d. net ; swd. is. 6d. net",M. H. GILL,Nov. 16
"Maccas (Leon)-German barbarism : a neutral's indictment. Pref. by Paul Girard. Gr. 8vo. 75 X4, pp. 240, 25. 6d. net HODDER & S., May 16",140,148,,Maccas (Leon),German barbarism : a neutral's indictment. Pref. by Paul Girard.,Gr. 8vo.,"75 X4, pp. 240, 25. 6d. net",HODDER & S.,May 16
