original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Bordeaux (Henry)-The House. Cr. 8vo. 7* X 51, pp. 409, 6s. .DENT, Oct. 16",29,37,,Bordeaux (Henry),The House.,Cr. 8vo.,"7* X 51, pp. 409, 6s. .",DENT,Oct. 16
"Boreham (F. W.)-Faces in the fire. Cr. 8vo. 8 x 57, pp. 272, 38. 6d. net C. H. KELLY, Sep. 16",29,37,,Boreham (F. W.),Faces in the fire.,Cr. 8vo.,"8 x 57, pp. 272, 38. 6d. net",C. H. KELLY,Sep. 16
"Borenius (T.)--Pictures by the Old Masters in the Library of Christ Church, Oxford : a brief cata. w. hist. and crit. notes. 64 pl. Fcap. 8vo. 65 X 5, PP: 118, p. bds. 5s. net MILFORD, Nov. 16",29,37,,Borenius (T.),"Pictures by the Old Masters in the Library of Christ Church, Oxford : a brief cata. w. hist. and crit. notes.",Fcap. 8vo.,"64 pl. 65 X 5, PP: 118, p. bds. 5s. net",MILFORD,Nov. 16
"Borland (Catherine R.) ed.-A Descriptive cata- logue of the Western mediæval manuscripts in Edinburgh University Library. Pp. 391, 155. net .......... EDINBURGH UNIV. PR., May 16",29,37,,Borland (Catherine R.) ed.,A Descriptive cata- logue of the Western mediæval manuscripts in Edinburgh University Library.,,"Pp. 391, 155. net",EDINBURGH UNIV. PR.,May 16
"Borradaile (Kathleen)-The Recurring track. Pp. 366, 6s. .STOCK, Feb. 16",29,37,,Borradaile (Kathleen),The Recurring track.,,"Pp. 366, 6s. .",STOCK,Feb. 16
"Borrow (George)-Lavengro: the scholar, the gypsy, the priest. Reprint, thin paper. Cr. 8vo. 77 X 4, pp. 599, velv. yapp, 3s. 6d. net HARRAP, Mar 16",29,37,,Borrow (George),"Lavengro: the scholar, the gypsy, the priest. Reprint, thin paper.",Cr. 8vo.,"77 X 4, pp. 599, velv. yapp, 3s. 6d. net",HARRAP,Mar 16
"Borry (W. Grinton) ed.-Men of grit. New ed. Cr. 8vo. 8 X 5, pp. 222, 25. ..R.T.S., May 16",23,31,,Borry (W. Grinton) ed.,Men of grit. New ed.,Cr. 8vo.,"8 X 5, pp. 222, 25. ..",R.T.S.,May 16
"Borst-Smith (Ernest F.)-Mandarin and mis- sionary in Cathay. Cr. 8vo. 8 X 54, pp. 268, ....SEELEY, S., Oct. 16",29,37,,Borst-Smith (Ernest F.),Mandarin and mis- sionary in Cathay.,Cr. 8vo.,"8 X 54, pp. 268, ....","SEELEY, S.",Oct. 16
"Bosanko (W.)-Collecting old lustre ware. 18mo. 7x44, pp. 127, 25. 6d. net HEINEMANN, Oct. 16",29,37,,Bosanko (W.),Collecting old lustre ware.,18mo.,"7x44, pp. 127, 25. 6d. net",HEINEMANN,Oct. 16
"Bosher (Kate L.)-People like that : a novel. Cr. 8vo. 71 x 5, 6s. ...HARPER, May 16",29,37,,Bosher (Kate L.),People like that : a novel.,Cr. 8vo.,"71 x 5, 6s. ...",HARPER,May 16
"Bosschère (Jean de)-12 occupations. French text w. 12 designs by the author and an Eng. trans. Cr. 8vo. 71 x 58, swd. is. 60. net E. MATHEWS, Sep. 16",29,37,,Bosschère (Jean de),12 occupations. French text w. 12 designs by the author and an Eng. trans.,Cr. 8vo.,"71 x 58, swd. is. 60. net",E. MATHEWS,Sep. 16
"Bosworth (G. F.) ed. Some great regions of the world. The monsoon lands of Asia, the Nile and the Amazon, and the wheat lands of America, with intro. on the principles of geography. Cr. 8vo. 74 x 54, pp. 238, 23. 3d. (Cambridge geographical readers) CAMB. UNIV. PR., Jan. 16",29,37,,Bosworth (G. F.) ed.,"Some great regions of the world. The monsoon lands of Asia, the Nile and the Amazon, and the wheat lands of America, with intro. on the principles of geography.",Cr. 8vo.,"74 x 54, pp. 238, 23. 3d. (Cambridge geographical readers)",CAMB. UNIV. PR.,Jan. 16
"Bosworth (George F.) A History of St. Mary's Church, Walthamstow. 13X10}, pp. 16, 4s. WALTHAMSTOW ANTIQUARIAN SOC., Aug. 16",29,37,,Bosworth (George F.),"A History of St. Mary's Church, Walthamstow.",,"13X10}, pp. 16, 4s.",WALTHAMSTOW ANTIQUARIAN SOC.,Aug. 16
"Bosworth (George F.)—Ships, shipping and fishing: with some account of our seaports and their industries. Illus. 8vo. 8 X 54, pp. 94, Is. 6d. (Cainb. industrial and commercial ser.) CAMB. UNIV. PRESS, Feb. 16",29,37,,Bosworth (George F.),"Ships, shipping and fishing: with some account of our seaports and their industries. Illus.",8vo.,"8 X 54, pp. 94, Is. 6d. (Cainb. industrial and commercial ser.)",CAMB. UNIV. PRESS,Feb. 16
"Botanic Garden (Royal), Edinburgh-Notes. Nos. 41 and 42 (Apr. '15, Feb. ’16) ea., gd WYMAN, Nov. 15, Aug. 16",29,37,,,"Botanic Garden (Royal), Edinburgh-Notes. Nos. 41 and 42 (Apr. '15, Feb. ’16) ea., gd",,,WYMAN,"Nov. 15, Aug. 16"
"Botany (Annals of) Vol. 30, nos. 118, 119. Ryl. 8vo. 91 x 64, ea. no. 145. ; Annual sub. for 4 pts., 30s... (Clarendon Pr.) MILFORD, Apr., July 16",29,37,,,"Botany (Annals of) Vol. 30, nos. 118, 119.",Ryl. 8vo.,"91 x 64, ea. no. 145. ; Annual sub. for 4 pts., 30s...",(Clarendon Pr.) MILFORD,"Apr., July 16"
"Botham-Edwards (M.)---Hearts of Alsace : a story of our time. Cr. 8vo. 74 x 41, pp. 322, 6s. net SMITH, E., May 16",23,31,,Botham-Edwards (M.),Hearts of Alsace : a story of our time.,Cr. 8vo.,"74 x 41, pp. 322, 6s. net","SMITH, E.",May 16
"Botrel (Théodore)-Songs of Botrel, Chan- sonnier des Armées."" Trans. by Winifred Byers. Cr. 8vo. 71 x 5, pp. 155, 28. 6d. net HOLDEN & H. July 16",29,37,,Botrel (Théodore),"Songs of Botrel, Chan- sonnier des Armées."" Trans. by Winifred Byers.",Cr. 8vo.,"71 x 5, pp. 155, 28. 6d. net",HOLDEN & H.,July 16
"Botsford (G. W.) and Sihler (E. G.) eds.- Hellenic civilization. 8vo. 91x6, pp. 719, 168. net (Records of civilization ; sources and studies) MILFORD, Jan. 16",29,37,,Botsford (G. W.) and Sihler (E. G.) eds.,Hellenic civilization.,8vo.,"91x6, pp. 719, 168. net (Records of civilization ; sources and studies)",MILFORD,Jan. 16
"Bottome (Phyllis)Secretly armed. Cr. 8vo. 78 x 5, pp. 279, 6s. net CHAPMAN & H., Sep. 16",29,37,,Bottome (Phyllis),Secretly armed.,Cr. 8vo.,"78 x 5, pp. 279, 6s. net",CHAPMAN & H.,Sep. 16
