original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Oldham (J. H.)--The World and the Gospel. Cr. 8vo. 71 x 44, pp. 239, 25. net U.C.M.E., July 16",168,176,,Oldham (J. H.),The World and the Gospel.,Cr. 8vo.,"71 x 44, pp. 239, 25. net",U.C.M.E.,July 16
"Oliphant (E. C.)-Chrysoprase. 8vo., pp. 48, 28. 6d. net .BUMPUS, Apr. 16",168,176,,Oliphant (E. C.),Chrysoprase.,8vo.,"pp. 48, 28. 6d. net .",BUMPUS,Apr. 16
"Olivant (Alfred)-The Brown mare, and other studies. Cr. 8vo. 71 x 5, pp. 159, 28. 6d. net ALLEN & U., Sep. 16",168,176,,Olivant (Alfred),"The Brown mare, and other studies.",Cr. 8vo.,"71 x 5, pp. 159, 28. 6d. net",ALLEN & U.,Sep. 16
"Oliver (F. S.)-Ordeal by battle. Abridged ed. Cr. 8vo. 7X 41, pp. 403, bds. is. net MACMILLAN, Mar. 16",168,176,,Oliver (F. S.),Ordeal by battle. Abridged ed.,Cr. 8vo.,"7X 41, pp. 403, bds. is. net",MACMILLAN,Mar. 16
"Oliver (George) - Studies in blood pressure, physiological and clinical. 3rd ed. Ed. by W. D. Halliburton. 8vo. 81x5), pp. 263. 78. 6d. net ..LEWIS, July 16",168,176,,Oliver (George),"Studies in blood pressure, physiological and clinical. 3rd ed. Ed. by W. D. Halliburton.",8vo.,"81x5), pp. 263. 78. 6d. net ..",LEWIS,July 16
"Oliver (John)-If a man die, shall he live again ? Cr. 8vo. 8x57, pp. 16, 3d. A. GARDNER, July 16",168,176,,Oliver (John),"If a man die, shall he live again ?",Cr. 8vo.,"8x57, pp. 16, 3d.",A. GARDNER,July 16
"Oliver (Sir Thomas)--Occupations from the social, hygienic and medical points of view. Demy 8vo. 87 x 5, pp. 120, 6s. net (Camb. public health ser.) ..CAMB. UNIV. PR., Feb. 16",168,176,,Oliver (Sir Thomas),"Occupations from the social, hygienic and medical points of view.",Demy 8vo.,"87 x 5, pp. 120, 6s. net (Camb. public health ser.)",CAMB. UNIV. PR.,Feb. 16
"Oliver (Wentworth)—Defiance. Cr. 8vo. 73 x 5, pp. 198, swd. is. net CAMDEN PUB. Co., A pr. 16",168,176,,Oliver (Wentworth),Defiance.,Cr. 8vo.,"73 x 5, pp. 198, swd. is. net",CAMDEN PUB. Co.,A pr. 16
"Oliver and Boyd's Edinburgh almanac and national repository, 1916. 16mo. 64x41, pp. 1291, 6s. 6d. OLIVER & B., Jan. 16",168,176,,,"Oliver and Boyd's Edinburgh almanac and national repository, 1916.",16mo.,"64x41, pp. 1291, 6s. 6d.",OLIVER & B.,Jan. 16
"Ollivant (Alfred)-The Gentleman : a romance of the sea. 18mo. 61 x 4, pp. 490, 7d. net NELSON, A pr. 16",168,176,,Ollivant (Alfred),The Gentleman : a romance of the sea.,18mo.,"61 x 4, pp. 490, 7d. net",NELSON,A pr. 16
