original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Hardy (Thomas J.)-Catholic or Roman Catholic ? Cr. 8vo. 73 x 5), pp. 157, 28. 6d. net R. SCOTT, Dec. 16",101,109,,Hardy (Thomas J.),Catholic or Roman Catholic ?,Cr. 8vo.,"73 x 5), pp. 157, 28. 6d. net",R. SCOTT,Dec. 16
"Hardy (Thomas)- Selected poems. 18mo. 64x44, pp. 223, 25. 6d. net (Golden treasury ser.) . MACMILLAN, Oct. 16",101,109,,Hardy (Thomas),Selected poems.,18mo.,"64x44, pp. 223, 25. 6d. net (Golden treasury ser.) .",MACMILLAN,Oct. 16
"Hardy (Thomas)-A Changed man; the Waiting supper and other tales. Cheap ed. Cr. 8vo. 7* 5, pp. 424, 35. 6d. ..MACMILLAN, Jan. 16",101,109,,Hardy (Thomas),A Changed man; the Waiting supper and other tales. Cheap ed.,Cr. 8vo.,"7* 5, pp. 424, 35. 6d. ..",MACMILLAN,Jan. 16
"Hare (Kenneth)-Three poems. Decorated by C. Lovat Fraser. 4X3, pp. 21, 6d. net (46, Museum Street) E. MEYNELL, Nov. 16",101,109,,Hare (Kenneth),Three poems. Decorated by C. Lovat Fraser.,,"4X3, pp. 21, 6d. net (46, Museum Street)",E. MEYNELL,Nov. 16
"Hargrave (John) ---At Suvla Bay: notes and sketches. Cr. 8vo. 8 x6, pp. 192, 5s, net CONSTABLE, Nov. 16",101,109,,Hargrave (John),At Suvla Bay: notes and sketches.,Cr. 8vo.,"8 x6, pp. 192, 5s, net",CONSTABLE,Nov. 16
"Hargrove (Ethel C.)-The Garden of desire : a story of the Isle of Wight. 74 x 5, pp. 218, 2s. 6d. net .GRAFTON, Dec. 16",101,109,,Hargrove (Ethel C.),The Garden of desire : a story of the Isle of Wight.,,"74 x 5, pp. 218, 2s. 6d. net .",GRAFTON,Dec. 16
"Harker (L. Allen)--Mr. Wycherly's wards. Cr. 8vo.7 x 41, pp. 282, is, net MURRAY, July 16",101,109,,Harker (L. Allen),Mr. Wycherly's wards.,Cr. 8vo.,"7 x 41, pp. 282, is, net",MURRAY,July 16
"Harman (N. Bishop)-The Eyes of our children. Cr. 8vo. 7X4, pp. 132, is. net (Methuen's health ser.) .METHUEN, Mar. 16",101,109,,Harman (N. Bishop),The Eyes of our children.,Cr. 8vo.,"7X4, pp. 132, is. net (Methuen's health ser.) .",METHUEN,Mar. 16
"Harmony. 18mo. 67X45, bds. is. 6d. net HEATH, C., June 16",101,109,,,Harmony.,18mo.,"67X45, bds. is. 6d. net","HEATH, C.",June 16
"Harper (Andrew)—The Book of Deuteronomy. New ed. Cr. 8vo. 8 X 5, pp. 499, 28. 6d. net (Expositor's Bible) ....HODDER & S., Oct. 16",101,109,,Harper (Andrew),The Book of Deuteronomy. New ed.,Cr. 8vo.,"8 X 5, pp. 499, 28. 6d. net (Expositor's Bible) ....",HODDER & S.,Oct. 16
