original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Mains (George Preston)--Divine inspiration. Cr. 8vo. 74 x 57, 35. 6d. net HODDER & S., Mar. 16",144,152,,Mains (George Preston),Divine inspiration.,Cr. 8vo.,"74 x 57, 35. 6d. net",HODDER & S.,Mar. 16
"Mairet (Ethel M.)--A Book of vegetable dyes. Cr. 8vo., 74 x 57, pp. 153, 55. net DOUGLAS PEPLER, Aug. 16",144,152,,Mairet (Ethel M.),A Book of vegetable dyes.,Cr. 8vo.,"74 x 57, pp. 153, 55. net",DOUGLAS PEPLER,Aug. 16
"Mais (S. P. B.)-A Public school in war time. Cr. 8vo. 71 x 5, pp. 178, 35. 6d. net MURRAY, June 16",144,152,,Mais (S. P. B.),A Public school in war time.,Cr. 8vo.,"71 x 5, pp. 178, 35. 6d. net",MURRAY,June 16
"Maitra (Harendranath)-Hinduisin : the world. ideal. Intro. by G. K. Chesterton. Cr. 8vo. 74 x 54, pp. 120, 25. 6d. net PALMER & H., May 16",144,152,,Maitra (Harendranath),Hinduisin : the world. ideal. Intro. by G. K. Chesterton.,Cr. 8vo.,"74 x 54, pp. 120, 25. 6d. net",PALMER & H.,May 16
"Major (Charles)--Dorothy Vernon of Haddon Hall. Cr. 8vo. 7 X 4), pp. 319, IS. net MACMILLAN, July 16",144,152,,Major (Charles),Dorothy Vernon of Haddon Hall.,Cr. 8vo.,"7 X 4), pp. 319, IS. net",MACMILLAN,July 16
"Making of a gunner. By “F. 0. 0.” 71 x 5, pp. 218, 3s. 6d. net ..NASH, Oct. 16",144,152,,,Making of a gunner. By “F. 0. 0.”,,"71 x 5, pp. 218, 3s. 6d. net ..",NASH,Oct. 16
"Making of a Soldier (The); or, How the lad went away. 18mo. 6} x 4, pp. 128, bds. Is. net SIMPKIN, Jan, 16",144,152,,,"Making of a Soldier (The); or, How the lad went away.",18mo.,"6} x 4, pp. 128, bds. Is. net",SIMPKIN,"Jan, 16"
"Making of an officer. By“C.N.” Cr. 8vo. 71 x 5, pp. 88, is. net HODDER & S., Sep. 16",144,152,,,"Making of an officer. By""C.N.""",Cr. 8vo.,"71 x 5, pp. 88, is. net",HODDER & S.,Sep. 16
"Malay States—Rpt. 1914. rod. Rpts. for 1914 on the States of Kedah and Perlis, Kelantan and Trengganu. IS. 5d. Rpt. for 1915: Federated Malay States, 8d. State of Brunei, 2fd. WYMAN, Jan.-Oct. 16",144,152,,,"Malay States—Rpt. 1914. rod. Rpts. for 1914 on the States of Kedah and Perlis, Kelantan and Trengganu. IS. 5d. Rpt. for 1915: Federated Malay States, 8d. State of Brunei, 2fd.",,,WYMAN,Jan.-Oct. 16
"Malcolm (Fiona)—My fairyland : a child's own visions. Illus. by Florence Anderson. 4to. gtx 7), pp. 85, 28. 6d. net ..HARRAP, July 16",144,152,,Malcolm (Fiona),My fairyland : a child's own visions. Illus. by Florence Anderson.,4to.,"gtx 7), pp. 85, 28. 6d. net ..",HARRAP,July 16
