original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Henry (0.)—Rolling stones. Cr. 8vo. 74 x 5, pp. 310, 35, 6d. net ...NASH, July 16",104,112,,Henry (0.),Rolling stones.,Cr. 8vo.,"74 x 5, pp. 310, 35, 6d. net ...",NASH,July 16
"Henry (Alice)-The Trade union woman, 6s. net APPLETON, May 16",104,112,,Henry (Alice),"The Trade union woman,",,6s. net,APPLETON,May 16
"Henry (O.)Sixes and sevens. Cheap ed. Cr. 8vo. 77 x 4), pp. 252, is. net HODDER & S., Mar. 16",104,112,,Henry (O.),Sixes and sevens. Cheap ed.,Cr. 8vo.,"77 x 4), pp. 252, is. net",HODDER & S.,Mar. 16
"Henry (W. A.)— The Red kite. Cr. 8vo. 71 x 5, pp. 319, 6s. WARD, L., June 16",104,112,,Henry (W. A.),The Red kite.,Cr. 8vo.,"71 x 5, pp. 319, 6s.","WARD, L.",June 16
"Henshaw (Julia W.)-Wild flowers of the North American mountains. Demy 8vo.6 x 84, 1os. 60. ..MCBRIDE, June 16",104,112,,Henshaw (Julia W.),Wild flowers of the North American mountains.,Demy 8vo.,"6 x 84, 1os. 60. ..",MCBRIDE,June 16
"Henson (Hensley)-Robertson of Brighton, 1816. 1853. Cr. 8vo. 73 x5, pp. 114, 2s, net Smith, E., Mar. 16",104,112,,Henson (Hensley),"Robertson of Brighton, 1816. 1853.",Cr. 8vo.,"73 x5, pp. 114, 2s, net","Smith, E.",Mar. 16
"Henty (G. A.)--Two sieges ; or, Cuthbert Hartington's adventures. New ed. Cr. 8vo. 71 X 5, pp. 292, 2s. 6d. ....PARTRIDGE, Nov. 16",105,113,,Henty (G. A.),"Two sieges ; or, Cuthbert Hartington's adventures. New ed.",Cr. 8vo.,"71 X 5, pp. 292, 2s. 6d. ....",PARTRIDGE,Nov. 16
"Henty (G. A.)-In times of peril. New ed. Cr. 8vo. 8 X5, pp. 368, 35. 6d. FROWDE, AND H. & S., Sep. 16",105,113,,Henty (G. A.),In times of peril. New ed.,Cr. 8vo.,"8 X5, pp. 368, 35. 6d.","FROWDE, AND H. & S.",Sep. 16
"Henty (G. A.)-St. George for England. Cheaper ed. Cr. 8vo. 7! X 5, pp. 352, 35. 60. BLACKIE, Oct. 16",105,113,,Henty (G. A.),St. George for England. Cheaper ed.,Cr. 8vo.,"7! X 5, pp. 352, 35. 60.",BLACKIE,Oct. 16
"Henty (G. A.)-With Kitchener in the Soudan. Cheaper ed. Cr. 8vo. 71 x 51, pp. 384, 38. 6d. BLACKIE, Oct. 16",105,113,,Henty (G. A.),With Kitchener in the Soudan. Cheaper ed.,Cr. 8vo.,"71 x 51, pp. 384, 38. 6d.",BLACKIE,Oct. 16
