original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Pearce (Hilda)-The Navy bk. of fairy tales. Foreword by Adm. Sir J. Jellicoe. Ryl. 8vo. 103 x 74, pp. 181, 35. 6d. net CENTURY PR., Nov. 16",176,184,,Pearce (Hilda),The Navy bk. of fairy tales. Foreword by Adm. Sir J. Jellicoe.,Ryl. 8vo.,"103 x 74, pp. 181, 35. 6d. net",CENTURY PR.,Nov. 16
"Pearl (Dora)—The Price of a woman's soul. Cr. 8vo. 77 x 41, pp. 192, swd. is. net GARDNER & Co., Feb. 16",176,184,,Pearl (Dora),The Price of a woman's soul.,Cr. 8vo.,"77 x 41, pp. 192, swd. is. net",GARDNER & Co.,Feb. 16
"Pearl (Raymond) and others. Diseases of poultry. Cr. 8vo. 7*X57, 8s. 6d. net MACMILLAN, Apr. 16",176,184,,Pearl (Raymond) and others.,Diseases of poultry.,Cr. 8vo.,"7*X57, 8s. 6d. net",MACMILLAN,Apr. 16
"Pearse (Hugh W., Col.)--History of the East Surrey Regiment. Vol. 1., 1702-1914. 10X71, pp. 487, 218. net .SPOTTISWOODE, Dec. 16",176,184,,"Pearse (Hugh W., Col.)","History of the East Surrey Regiment. Vol. 1., 1702-1914.",,"10X71, pp. 487, 218. net .",SPOTTISWOODE,Dec. 16
"Pearson (Charlotte)-Amare Deus est. Cr. 8vo. 8 x 57, pp. 119, 5s. net . METHUEN, Oct. 16",176,184,,Pearson (Charlotte),Amare Deus est.,Cr. 8vo.,"8 x 57, pp. 119, 5s. net .",METHUEN,Oct. 16
"Pearson (J. J.)-Arazenos, his wanderings, trials and discourses. Cr. 8vo. 8 X 5, pp. 198, 4s. 60. net ....BLACKWELL, Mar. 16",176,184,,Pearson (J. J.),"Arazenos, his wanderings, trials and discourses.",Cr. 8vo.,"8 X 5, pp. 198, 4s. 60. net ....",BLACKWELL,Mar. 16
"Pearson (John J.)-The Nemesis of Germany and Austria. Cr. 8vo. 74 x 5), pp. 32, swd., 2d. "" CHRISTIAN GLOBE,"" Jan. 16",176,184,,Pearson (John J.),The Nemesis of Germany and Austria.,Cr. 8vo.,"74 x 5), pp. 32, swd., 2d.",""" CHRISTIAN GLOBE,""",Jan. 16
"Pearson (Norman)-The Soul and its story. 8vo. 9 x6, pp. 335, 1os. 6d. net E. ARNOLD, Oct. 16",176,184,,Pearson (Norman),The Soul and its story.,8vo.,"9 x6, pp. 335, 1os. 6d. net",E. ARNOLD,Oct. 16
"Pearson's Nautical almanack and tide tables, 1917. 8vo. 9 X6, Is. gd. ; extended ed., 25. IMRAY, L., Oct. 16",176,184,,,"Pearson's Nautical almanack and tide tables, 1917.",8vo.,"9 X6, Is. gd. ; extended ed., 25.","IMRAY, L.",Oct. 16
"Pease (Edward R.)-The History of the Fabian Society. Cr. 8vo. 7* x 5pp. 288, 58. net FIFIELD, May 16",176,184,,Pease (Edward R.),The History of the Fabian Society.,Cr. 8vo.,"7* x 5pp. 288, 58. net",FIFIELD,May 16
"Peat's Farmer's diary and account book, Jan. I to Dec. 31: a complete and easy method of keeping farm accounts. Cr. 8vo. 78 X 5, pp. 104, IS., 38., 55. . SIMPKIN, Jan. 16",176,184,,,"Peat's Farmer's diary and account book, Jan. I to Dec. 31: a complete and easy method of keeping farm accounts.",Cr. 8vo.,"78 X 5, pp. 104, IS., 38., 55. .",SIMPKIN,Jan. 16
"Pebbles on the shore. By “ Alpha of the Plough."" Cr. 8vo. 77 x 44, pp. 255, is. net DENT, Dec. 16",176,184,,,"Pebbles on the shore. By "" Alpha of the Plough.""",Cr. 8vo.,"77 x 44, pp. 255, is. net",DENT,Dec. 16
"Peddio (J. Taylor)-On the relation of imports to exports: a study of the basis of a new National and Imperial policy. 2nd ed. enl. 71 x 41, pp. 148, 58. net .LONGMANS, May 16",176,184,,Peddio (J. Taylor),On the relation of imports to exports: a study of the basis of a new National and Imperial policy. 2nd ed. enl.,,"71 x 41, pp. 148, 58. net .",LONGMANS,May 16
"Peel (Mrs. C. S.)--10$. a head for house books. New ed. Cr. 8vo. 7 x 4, pp. 311, 3s. net CONSTABLE, Sep. 16",176,184,,Peel (Mrs. C. S.),10$. a head for house books. New ed.,Cr. 8vo.,"7 x 4, pp. 311, 3s. net",CONSTABLE,Sep. 16
"Pellott (Frank C.)-Productive bee-keeping. 8vo. 81 x 55, 6s. net (Farm manuals) LIPPINCOTT, Feb. 16",176,184,,Pellott (Frank C.),Productive bee-keeping.,8vo.,"81 x 55, 6s. net (Farm manuals)",LIPPINCOTT,Feb. 16
"Pemberton (Max)-The Great white army. Cr. 8vo. 73 x 41, pp. 343, Is. net.. CASSELL, Sep. 16",176,184,,Pemberton (Max),The Great white army.,Cr. 8vo.,"73 x 41, pp. 343, Is. net..",CASSELL,Sep. 16
"Pemberton (Max)-White motley, Cheaper ed. Cr. 8vo. 8 X 51, pp. 340, 2s. net CASSELL, Aug. 16",176,184,,Pemberton (Max),"White motley, Cheaper ed.",Cr. 8vo.,"8 X 51, pp. 340, 2s. net",CASSELL,Aug. 16
"Pemberton (Max)—The Mystery of the green heart. 18mo. 7 x 41, pp. 320. Is. net METHUEN, Aug. 16",176,184,,Pemberton (Max),The Mystery of the green heart.,18mo.,"7 x 41, pp. 320. Is. net",METHUEN,Aug. 16
"Pemberton-Billing (N.)--Air war : how to wage it. Cr. 8vo. 73 x 5, pp. 82, bds. is. net GALE & P., Mar. 16",176,184,,Pemberton-Billing (N.),Air war : how to wage it.,Cr. 8vo.,"73 x 5, pp. 82, bds. is. net",GALE & P.,Mar. 16
"Pendered (Mary L.)-The Book of common joys. Cr. 8vo. 71 X 5, pp. 280, 4s. 6d. net DENT, A $7.16",176,184,,Pendered (Mary L.),The Book of common joys.,Cr. 8vo.,"71 X 5, pp. 280, 4s. 6d. net",DENT,A $7.16
"Pendered (Mary L.)-The Secret sympathy. Cr. 8vo. 78 x 41, pp. 318, os. net CHAPMAN & H,, May 16",176,184,,Pendered (Mary L.),The Secret sympathy.,Cr. 8vo.,"78 x 41, pp. 318, os. net",CHAPMAN & H.,May 16
"Penman (George) —""I remember,"" Cr. 8vo. 77 x 5, pp. 186. 2s. 6d. net . KELLY, Apr. 16",177,185,,Penman (George),"""I remember,""",Cr. 8vo.,"77 x 5, pp. 186. 2s. 6d. net .",KELLY,Apr. 16
"Pennell (Elizabeth Robins)—Nights: Rome, Venice, in the aesthetic Eighties; London, Paris, in the fighting Nineties. 8vo. 81 X55, pp. 313, Ios. net .... HEINEMANN, Sep. 16",177,185,,Pennell (Elizabeth Robins),"Nights: Rome, Venice, in the aesthetic Eighties; London, Paris, in the fighting Nineties.",8vo.,"81 X55, pp. 313, Ios. net ....",HEINEMANN,Sep. 16
"Pennell (Joseph)--Pictures of war work in Eng. land. Intro. by H. G. Wells. Ryl. 8vo. 91 x 7), pp. 51, 6s, net ..HEINEMANN, Dec. 16",177,185,,Pennell (Joseph),Pictures of war work in Eng. land. Intro. by H. G. Wells.,Ryl. 8vo.,"91 x 7), pp. 51, 6s, net ..",HEINEMANN,Dec. 16
"Penny (F. E.)-Love by an Indian river. Cr. 8vo. 77X5, pp. 314, 6s. ...... CHATTO & W., Feb. 16",177,185,,Penny (F. E.),Love by an Indian river.,Cr. 8vo.,"77X5, pp. 314, 6s. ...... ",CHATTO & W.,Feb. 16
"People mighty to save (A). By Sister Ion. Cr. 8vo. 71 x 41, swd. 6d. net .. R. SCOTT, Mar. 16",177,185,,,People mighty to save (A). By Sister Ion.,Cr. 8vo.,"71 x 41, swd. 6d. net ..",R. SCOTT,Mar. 16
"per set Ja mes (W. H. N.)-Alternating currents in theory and practice. Illus. Demy 8vo. 81*5), pp. 362, ios, 6d, net. (Camb. tech. ser.) CAMB. UNIV. PR., Sep. 16",120,128,per set ,Ja mes (W. H. N.),Alternating currents in theory and practice. Illus.,Demy 8vo.,"81*5), pp. 362, ios, 6d, net. (Camb. tech. ser.)",CAMB. UNIV. PR.,Sep. 16
"Percy (Marguerite)-Life cannot cease ; and Leaves from the Pilgrim's Way. 74 x 5, pp. 130, 38. 6d. net “ EAST AND WEST,"" Oct. 16",177,185,,Percy (Marguerite),Life cannot cease ; and Leaves from the Pilgrim's Way.,,"74 x 5, pp. 130, 38. 6d. net",""" EAST AND WEST,""",Oct. 16
"Peroda (Don José Maria de)-The Last of the breed and other stories. Tr. by Denis Freeman. Cr. 8vo. 75 X 5, pp. 178, 35. 6d. net D. NUTT, Aug. 16",177,185,,Peroda (Don José Maria de),The Last of the breed and other stories. Tr. by Denis Freeman.,Cr. 8vo.,"75 X 5, pp. 178, 35. 6d. net",D. NUTT,Aug. 16
"Perrigo (Oscar E.)--Lathe design, construction and operation, w. prac. ex. of lathe work. 93 x6, pp. 469, 12s.6d. net C. LOCKWOOD, July 16",177,185,,Perrigo (Oscar E.),"Lathe design, construction and operation, w. prac. ex. of lathe work.",,"93 x6, pp. 469, 12s.6d. net",C. LOCKWOOD,July 16
"Perry (Lorinda)-Millinery as a trade for women. 8vo. 91 X 6, pp. 153, 6s. net. (Studies in econ. rela. of women, Vol. 5) ....LONGMANS, Oct. 16",177,185,,Perry (Lorinda),Millinery as a trade for women.,8vo.,"91 X 6, pp. 153, 6s. net. (Studies in econ. rela. of women, Vol. 5)",LONGMANS,Oct. 16
"Perry's Directory of Gt. Britain and Ireland and Continental and Colonial and mercantile guide, 1916. 11X7, pp. 2,694 ; subscribers, 215.; non-subscribers, 30s.: .PERRY, June 16",177,185,,,"Perry's Directory of Gt. Britain and Ireland and Continental and Colonial and mercantile guide, 1916.",,"11X7, pp. 2,694 ; subscribers, 215.; non-subscribers, 30s.: .",PERRY,June 16
"Persyn (Jul.)-A Glance at the soul of the Low Countries. IS. gd. .... WASHBOURNE, July 16",177,185,,Persyn (Jul.),A Glance at the soul of the Low Countries.,,IS. gd. ....,WASHBOURNE,July 16
"Peterson (Arthur)-Collected poems. Cr. 8vo, 71 X 5, 6s. net PUTNAM, Oct. 16",178,186,,Peterson (Arthur),Collected poems.,"Cr. 8vo,","71 X 5, 6s. net",PUTNAM,Oct. 16
"Peterson (Margaret)---Butterfly wings. Cr. 8vo. 74 x 5, pp. 330, 6s.... .HURST & B,, July 16",178,186,,Peterson (Margaret),Butterfly wings.,Cr. 8vo.,"74 x 5, pp. 330, 6s....","HURST & B,",July 16
"Peterson (R. M.)-Army yarns. 2nd ed. 71 X 5, pp. 104, Is. net .. (Bristol) GOULDING, Fcb. 16",178,186,,Peterson (R. M.),Army yarns. 2nd ed.,,"71 X 5, pp. 104, Is. net .. (Bristol)",GOULDING,Fcb. 16
