original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Hay (Lt. Col. A. W.) and Horan (Capt. H. J.) Syllabus of infantry training as suggested by notes on company training issued by the General staff and adopted by 52nd Overseas Batt. Canadian Expedit. Force. Cr. 8vo. 74 x 51, pp. 149, bds., 4s. net .REES, Feb. 16",103,111,,Hay (Lt. Col. A. W.) and Horan (Capt. H. J.),Syllabus of infantry training as suggested by notes on company training issued by the General staff and adopted by 52nd Overseas Batt. Canadian Expedit. Force.,Cr. 8vo.,"74 x 51, pp. 149, bds., 4s. net .",REES,Feb. 16
"Hayens (Herbert) ed.-Bunty's best book. Ryl 8vo. 93x 7+, 25....... COLLINS, Aug. 16",103,111,,Hayens (Herbert) ed.,Bunty's best book.,Ryl 8vo.,"93x 7+, 25.......",COLLINS,Aug. 16
"Hayens (Herbert)—'Midst shot and shell in Flanders. 10+x78, pp. 223, 35. 6d. net COLLINS, Nov. 16",103,111,,Hayens (Herbert),'Midst shot and shell in Flanders.,,"10+x78, pp. 223, 35. 6d. net",COLLINS,Nov. 16
"Hayens (Herbert)—Britain's glory on land and sea. 4to. 101x78, pp. 231, 39. 6d. net COLLINS, Nov. 16",103,111,,Hayens (Herbert),Britain's glory on land and sea.,4to.,"101x78, pp. 231, 39. 6d. net",COLLINS,Nov. 16
"Hayes (Carlton J. H.)-A Political and social history of modern Europe. 2 vols. 8vo. 9x6. Vol. I, 8s. 6d. net ; Vol. 2, 1os. net MACMILLAN, Nov. 16",103,111,,Hayes (Carlton J. H.),A Political and social history of modern Europe. 2 vols.,8vo.,"9x6. Vol. I, 8s. 6d. net ; Vol. 2, 1os. net",MACMILLAN,Nov. 16
"Hayes (Ernest H.)—The Child in the midst : a guide to new Sunday school methods. With a foreword by D. L. Ritchie. Cr. 8vo. 71 X 5, pp. 161, 28. net ..STONEHAM, Apr. 16",103,111,,Hayes (Ernest H.),The Child in the midst : a guide to new Sunday school methods. With a foreword by D. L. Ritchie.,Cr. 8vo.,"71 X 5, pp. 161, 28. net ..",STONEHAM,Apr. 16
"Hayes (Nancy M.)—The Little wee cupid. 16nio 64x5, pp. 71, is. net ....CASSELL, Sep. 16",103,111,,Hayes (Nancy M.),The Little wee cupid.,16nio,"64x5, pp. 71, is. net ....",CASSELL,Sep. 16
"Haynes (E. S. P.)-The Decline of liberty in England. 8vo. 97 x6, pp. 238, 6s. net RICHARDS, July 16",103,111,,Haynes (E. S. P.),The Decline of liberty in England.,8vo.,"97 x6, pp. 238, 6s. net",RICHARDS,July 16
"Hayward (Charles W.)--Policies in poem and parody. 7° X 5, pp. 61, is, net DANIEL, Nov. 16",103,111,,Hayward (Charles W.),Policies in poem and parody.,,"7° X 5, pp. 61, is, net",DANIEL,Nov. 16
"Hayward (Charles W.)--What is diplomacy? Cr. 8vo. 71 x 44, pp. 256, 25. 6d. net RICHARDS, Jan. 16",103,111,,Hayward (Charles W.),What is diplomacy?,Cr. 8vo.,"71 x 44, pp. 256, 25. 6d. net",RICHARDS,Jan. 16
"Hayward (Charles W.)-The Abolition of war. 18mo. 61 X 4, swd. 3d. net ..DANIEL, Nov. 16",103,111,,Hayward (Charles W.),The Abolition of war.,18mo.,"61 X 4, swd. 3d. net",DANIEL,Nov. 16
"Hazard (Daniel)-Results of observations made at the U.S. Coast and Geodetic Survey Magnetic Observatory near Honolulu, Hawaii. (Serial No. 21). 4to, 11} X 9, pp. 100, 5s. net WESLEY, June 16",103,111,,Hazard (Daniel),"Results of observations made at the U.S. Coast and Geodetic Survey Magnetic Observatory near Honolulu, Hawaii. (Serial No. 21).","4to,","11} X 9, pp. 100, 5s. net",WESLEY,June 16
"Hazeley Down Camp, Aug., 1916 : memorial number. Ryl. 8vo. 10 X 64, is. net (Winchester) WARREN, Nov. 16",103,111,,,"Hazeley Down Camp, Aug., 1916 : memorial number.",Ryl. 8vo.,"10 X 64, is. net (Winchester)",WARREN,Nov. 16
