original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Ford (Henry Jones)— Woodrow Wilson : the man and his work. Cr. 8vo. 78 x 57, pp. 334, 6s. net APPLETON, Aug. 16",82,90,,Ford (Henry Jones),Woodrow Wilson : the man and his work.,Cr. 8vo.,"78 x 57, pp. 334, 6s. net",APPLETON,Aug. 16
"Ford (John)—'Tis a pity she's a whore, and The Broken heart. Ed. by S. P. Sherman. 18mo. 61 X4+, bds. 25. 6d. net. (Belles-lettres ser.) HARRAP, Mar. 16",82,90,,Ford (John),"'Tis a pity she's a whore, and The Broken heart. Ed. by S. P. Sherman.",18mo.,"61 X4+, bds. 25. 6d. net. (Belles-lettres ser.)",HARRAP,Mar. 16
"Ford (Joseph C.) and Cundall (Frank)—The Hand- book of Jamaica for 1916. 84x58, pp. 662, 6s. STANFORD, Sep. 16",82,90,,Ford (Joseph C.) and Cundall (Frank),The Hand- book of Jamaica for 1916.,,"84x58, pp. 662, 6s.",STANFORD,Sep. 16
"Ford (S.)--Notes on property law : with practical hints on house-hunting, and investments in real property. 6th ed. Gr. 8vo. 73 X 44, pp. 132, Is. net .NASH, Apr. 16",82,90,,Ford (S.),"Notes on property law : with practical hints on house-hunting, and investments in real property. 6th ed.",Gr. 8vo.,"73 X 44, pp. 132, Is. net .",NASH,Apr. 16
"Ford (Sewell)--Shorty McCabe. Cr. 8vo. 71 x 44, Pp. 252, is. net ...HODDER & S., Nov. 16",82,90,,Ford (Sewell),Shorty McCabe.,Cr. 8vo.,"71 x 44, Pp. 252, is. net ...",HODDER & S.,Nov. 16
"Ford (Sewell)-Side-stepping with Shorty. Cr. 8vo. 71 x 41, pp. 256, is. net. . HODDER & S., Nov. 16",82,90,,Ford (Sewell),Side-stepping with Shorty.,Cr. 8vo.,"71 x 41, pp. 256, is. net. .",HODDER & S.,Nov. 16
"Forde (Georgina M.)---Heroes and writers of the Book of Common Prayer. Cr. 8vo. 8 X 5), pp. 211, 38. 6d. net ......S.P.C.K., Nov. 16",83,91,,Forde (Georgina M.),Heroes and writers of the Book of Common Prayer.,Cr. 8vo.,"8 X 5), pp. 211, 38. 6d. net",S.P.C.K.,Nov. 16
"Fordham (E. W.)- Songs of the Specials and other verses. Intro. by G. K. Chesterton. 16mo. 68 x 48, pp. 62, Is. 6d. net PALMER & H., July 16",83,91,,Fordham (E. W.),Songs of the Specials and other verses. Intro. by G. K. Chesterton.,16mo.,"68 x 48, pp. 62, Is. 6d. net",PALMER & H.,July 16
"Fordham (Montague). -A Short hist. of Englislı rural life fr. the Anglo-Saxon Invasion to the present time. Pref. by Charles Bathurst. Cr. 8vo. 78 X 5, pp. 200, 35, 6d. net; swd. 2s. 6d. net ALLEN & U., May 16",83,91,,Fordham (Montague).,A Short hist. of Englislı rural life fr. the Anglo-Saxon Invasion to the present time. Pref. by Charles Bathurst.,Cr. 8vo.,"78 X 5, pp. 200, 35, 6d. net; swd. 2s. 6d. net",ALLEN & U.,May 16
"Fordyce (W. Dingwall) — The Gun runners. 78 x 51, pp. 316, 38. 6d. net ..NELSON, Dec. 16",83,91,,Fordyce (W. Dingwall),The Gun runners.,,"78 x 51, pp. 316, 38. 6d. net ..",NELSON,Dec. 16
"Foreign Office list, and diplomatic and consular year book, 1916. Cr. 8vo. pp. 598, 10s. 6d. net HARRISON, A pr. 16",83,91,,,"Foreign Office list, and diplomatic and consular year book, 1916.",Cr. 8vo.,"pp. 598, 10s. 6d. net",HARRISON,A pr. 16
"Form : a quarterly on the arts. Vol. 1, no. 1. Fol. 18 X 12, 6s. net . LANE, June 16",83,91,,,"Form : a quarterly on the arts. Vol. 1, no. 1.",Fol.,"18 X 12, 6s. net .",LANE,June 16
"Forman (Justus Miles) ---The Opening door ; the love story of Hope Standish. Pop. ed. Cr. 8vo. 7X41, pp. 320, Is. net WARD, L., Feb. 16",83,91,,Forman (Justus Miles),The Opening door ; the love story of Hope Standish. Pop. ed.,Cr. 8vo.,"7X41, pp. 320, Is. net","WARD, L.",Feb. 16
"Forman (Justus Miles)--Love's highway : romance. Cr. 8vo. 7* X 5, pp. 348, 6s. CASSELL, Mar. 16",83,91,,Forman (Justus Miles),Love's highway : romance.,Cr. 8vo.,"7* X 5, pp. 348, 6s.",CASSELL,Mar. 16
"Forman (Justus Miles)--The Blind spot. Cr. 8vo. 78 x 41, pp. 318, 23. net WARD, L., Mar. 16",83,91,,Forman (Justus Miles),The Blind spot.,Cr. 8vo.,"78 x 41, pp. 318, 23. net","WARD, L.",Mar. 16
"Forman (Justus Miles)--The Opening door. 8vo. 81x51, pp. 128, 6d. . . WARD, L., Nov. 16",83,91,,Forman (Justus Miles),The Opening door.,8vo.,"81x51, pp. 128, 6d. . .","WARD, L.",Nov. 16
"Formby (C. W.)-The Soul of England. Cr. 8vo. 74 x 51, pp. 174, 25. 6d. net GARDNER, D., Dec. 16",83,91,,Formby (C. W.),The Soul of England.,Cr. 8vo.,"74 x 51, pp. 174, 25. 6d. net","GARDNER, D.",Dec. 16
"Formont (Maxime)-The She-wolf. Cr. 8vo. 73 x 44, pp. 304, Is. 6d. net ; Ithr. 28. net. (Lotus Lib.) .GREENING, Aug. 16",83,91,,Formont (Maxime),The She-wolf.,Cr. 8vo.,"73 x 44, pp. 304, Is. 6d. net ; Ithr. 28. net. (Lotus Lib.)",.GREENING,Aug. 16
"Forms of prayer for public and private use in time of war. 18mo. 6X31, is, net; swd. 6d. net S.P.C.K., Jan. 16",83,91,,,Forms of prayer for public and private use in time of war.,18mo.,"6X31, is, net; swd. 6d. net",S.P.C.K.,Jan. 16
"Forraby (H. C.)-The Grand Fleet. Cr. 8vo. 7** 53, pp. 186, 25, 6d. net H. JENKINS, Nov. 16",79,87,,Forraby (H. C.),The Grand Fleet.,Cr. 8vo.,"7** 53, pp. 186, 25, 6d. net",H. JENKINS,Nov. 16
"Forrest (G. W.) ed.-Selections from the State Papers of the Governors-General of India. Vols. I and 2, Hastings documents. 8vo. 91 x 6, Pp. 343, 348, 21s. net......BLACKWELL, Oct. 16",83,91,,Forrest (G. W.) ed.,"Selections from the State Papers of the Governors-General of India. Vols. I and 2, Hastings documents.",8vo.,"91 x 6, Pp. 343, 348, 21s. net......",BLACKWELL,Oct. 16
"Forrest (George) - The Life of Lord Roberts, K.G., V.C. Pop. ed. 8vo., 84x5), pp. 392, 28. 6d. net ..CASSELL, A pr. 16",83,91,,Forrest (George),"The Life of Lord Roberts, K.G., V.C. Pop. ed.",8vo.,"84x5), pp. 392, 28. 6d. net ..",CASSELL,A pr. 16
"Forrest (S. N.)-Mining mathematics : senior course. 71 X 5, pp. 333, 55. net ARNOLD, Dec. 16",83,91,,Forrest (S. N.),Mining mathematics : senior course.,,"71 X 5, pp. 333, 55. net",ARNOLD,Dec. 16
"Forst reeder in simplifyd speling. 2nd ed. 7*41, 48 pp., 6d. net. SIMPLIFYD SPELING SOSYETI, API. 16",79,87,,,Forst reeder in simplifyd speling. 2nd ed.,,"7*41, 48 pp., 6d. net.",SIMPLIFYD SPELING SOSYETI,API. 16
"Forsyth (P. T.)-The Justification of God. Cr. 8vo. 71 x 5, pp. 238, 25. 6d, net (Studies in theology) .DUCKWORTH, Nov. 16",83,91,,Forsyth (P. T.),The Justification of God.,Cr. 8vo.,"71 x 5, pp. 238, 25. 6d, net (Studies in theology) .",DUCKWORTH,Nov. 16
"Forsyth (P. T.)-The Soul of prayer. Cr. 8vo. 7* x 5, pp. 140, 28. 6d. net KELLY, Oct. 16",83,91,,Forsyth (P. T.),The Soul of prayer.,Cr. 8vo.,"7* x 5, pp. 140, 28. 6d. net",KELLY,Oct. 16
"Forsyth (P.T.)—The Christian ethic of war. 8vo. 9 x 58, pp. 206, 6s. net LONGMANS, Aug. 16",83,91,,Forsyth (P.T.),The Christian ethic of war.,8vo.,"9 x 58, pp. 206, 6s. net",LONGMANS,Aug. 16
"Forsyth-Major (A. O., Capt.)–Elements of tactics. 8vo. 81 x 54, pp. 125, 4s. net GALE & P., Oct. 16",83,91,,"Forsyth-Major (A. O., Capt.)",Elements of tactics.,8vo.,"81 x 54, pp. 125, 4s. net",GALE & P.,Oct. 16
