original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Wood (Field-Marshal Sir Evelyn)-Our fighting services and how they made the Empire. With ten photogravures and many plans. Ryl. 8vo. 91 x 63, pp. 628, 215. net CASSELL, Jan, 16",254,262,,Wood (Field-Marshal Sir Evelyn),Our fighting services and how they made the Empire. With ten photogravures and many plans.,Ryl. 8vo.,"91 x 63, pp. 628, 215. net",CASSELL,"Jan, 16"
"Wood (George) - The Story of Morley. Foreword hy H. H. Asquith. 25. 60. ....PITMAN, May 16",254,262,,Wood (George),The Story of Morley. Foreword hy H. H. Asquith.,,25. 60. ....,PITMAN,May 16
"Wood (H. G.)--The Two swords : a dialogue on the Christian conscience and the war. Cr. 8vo. 7} x 5, pp. 46, swd. 9d. net. CORNISH, Sep. 16",254,262,,Wood (H. G.),The Two swords : a dialogue on the Christian conscience and the war.,Cr. 8vo.,"7} x 5, pp. 46, swd. 9d. net.",CORNISH,Sep. 16
"Wood (Harding)-The Benediction. Cr. 8vo. 8 X 54, pp. 318, 6s. .....R.T.S., Nov. 16",254,262,,Wood (Harding),The Benediction.,Cr. 8vo.,"8 X 54, pp. 318, 6s. .....",R.T.S.,Nov. 16
"Wood (John)--One hundred more talks with boys and girls. Cr. 8vo. 71 x 5, pp. 209, 28. net ALLENSON, Aug. 16",254,262,,Wood (John),One hundred more talks with boys and girls.,Cr. 8vo.,"71 x 5, pp. 209, 28. net",ALLENSON,Aug. 16
"Wood (Lawson)-Splinters. Folio 124 x 81, pp. 47, is. net ...DUCKWORTH, Nov. 16",254,262,,Wood (Lawson),Splinters.,Folio,"124 x 81, pp. 47, is. net ...",DUCKWORTH,Nov. 16
"Wood (Leonard)—The Military obligation of citizenship. Cr. 8vo. 78 x 51, 3s. 6d. net MILFORD, Jan. 16",254,262,,Wood (Leonard),The Military obligation of citizenship.,Cr. 8vo.,"78 x 51, 3s. 6d. net",MILFORD,Jan. 16
"Wood (Michael) —The Penitent of Brent. 7* *5), pp. 204, 4s. 6d. net........LONGMANS, Oct. 16",254,262,,Wood (Michael),The Penitent of Brent.,,"7* *5), pp. 204, 4s. 6d. net........",LONGMANS,Oct. 16
"Wood (Mrs. Henry)-East Lynne. Cheap ed. 18mo. 61 x 4, pp. 646, 7d. net COLLINS, May 16",254,262,,Wood (Mrs. Henry),East Lynne. Cheap ed.,18mo.,"61 x 4, pp. 646, 7d. net",COLLINS,May 16
"Wood (R. Francis)-Suffering and wrong: the message of the new religion. Cr. 8vo. 7* x 5, pp. 378, 45, 6d. net BELL, Feb. 16",254,262,,Wood (R. Francis),Suffering and wrong: the message of the new religion.,Cr. 8vo.,"7* x 5, pp. 378, 45, 6d. net",BELL,Feb. 16
"Wood (S. T.)--Jericho : a morality play. 8} x 61, pp. 15, 3d. SPOTTISWOODE, BALLANTYNE, Sep. 16",254,262,,Wood (S. T.),Jericho : a morality play.,,"8} x 61, pp. 15, 3d.","SPOTTISWOODE, BALLANTYNE",Sep. 16
"Wood (S. T.)-Rambles of a Canadian naturalist. Cr. 8vo. 71 x 5, pp. 256, 6s. net DENT, Mar. 16",254,262,,Wood (S. T.),Rambles of a Canadian naturalist.,Cr. 8vo.,"71 x 5, pp. 256, 6s. net",DENT,Mar. 16
