original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"McCarthy (Justin Huntly)—In spacious times. Cr. 8vo. 73 x 5, pp. 360, 6s. HURST & B., Sep. 16",140,148,,McCarthy (Justin Huntly),In spacious times.,Cr. 8vo.,"73 x 5, pp. 360, 6s.",HURST & B.,Sep. 16
"McClean (Ivor)--The Zeppelins' freight. 7X4}, pp. 31, 3d. .CARLYLE PR., Apr. 16",140,148,,McClean (Ivor),The Zeppelins' freight.,,"7X4}, pp. 31, 3d. .",CARLYLE PR.,Apr. 16
"McClean (W. N.)-Some notes on trench struction. Illuis. 98x71, pp. 35, is. net V'ACTIER, May 16",140,148,,McClean (W. N.),Some notes on trench struction.,,"Illuis. 98x71, pp. 35, is. net",V'ACTIER,May 16
"McClung (Nellie L.)- In times like these. Cr. 8vo. 7} x 5, 3s. 6d. net .APPLETON, Mar. 16",140,148,,McClung (Nellie L.),In times like these.,Cr. 8vo.,"7} x 5, 3s. 6d. net .",APPLETON,Mar. 16
"McClure (E.)-Spiritualism : a hist. and critical sketch. 7x44, pp. 56, 6d. net S.P.C.K., Apr. 16",140,148,,McClure (E.),Spiritualism : a hist. and critical sketch.,,"7x44, pp. 56, 6d. net",S.P.C.K.,Apr. 16
"McClymont (James R.)--Vicente Añes' Pinçon. 4to. 9 X7), pp. 82, ios. 6d. net QUARITCH, July 16",140,148,,McClymont (James R.),Vicente Añes' Pinçon.,4to.,"9 X7), pp. 82, ios. 6d. net",QUARITCH,July 16
"McConnell (S. D.) --Hist. of the American Epis- copal Church. Toth ed., rev. and enl. and cont. to the year 1915. 81 x 5, pp. 488, 75. 6d. net MOWBRAY, Dec. 16",140,148,,McConnell (S. D.),"Hist. of the American Epis- copal Church. Toth ed., rev. and enl. and cont. to the year 1915.",,"81 x 5, pp. 488, 75. 6d. net",MOWBRAY,Dec. 16
"McCutcheon (George Barr)--Mr. Bingle. Cr. 8vo. 71X 41, pp. 357, 5s.net .NASH, July 16",140,148,,McCutcheon (George Barr),Mr. Bingle.,Cr. 8vo.,"71X 41, pp. 357, 5s.net .",NASH,July 16
"McDonagh (J. E. R.)--Links in a chain of research on syphilis (oxidation and reduction). 8vo. 8*X51, pp. 210, 5s. net (Hunterian Lectures, Mar., 1916) HARRISON, June 16",140,148,,McDonagh (J. E. R.),Links in a chain of research on syphilis (oxidation and reduction).,8vo.,"8*X51, pp. 210, 5s. net (Hunterian Lectures, Mar., 1916)",HARRISON,June 16
"McDougall (A. G.)-Pange lingua : breviary hymns of old uses w. an Eng. rendering. Pp. 122, 55. net BURNS & O., June 16",141,149,,McDougall (A. G.),Pange lingua : breviary hymns of old uses w. an Eng. rendering.,,"Pp. 122, 55. net",BURNS & O.,June 16
