original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Pearson (Karl) and others-Albinism in ‘man. Text, Part II and atlas. Part II. 4to, bds, 30s. net. (Drapers' Co. Research memoirs, Biometric ser., VIII.) ....DULAU, July 13",232,240,,Pearson (Karl) and others,"Albinism in ‘man. Text, Part II and atlas. Part II.","4to, bds,","30s. net. (Drapers' Co. Research memoirs, Biometric ser., VIII.)",DULAU,July 13
"Pearson (S. V.)-The State provision of sana- toriums. 8vo. 9 X5$, pp. 88, 35. net CAMB. U. P., Aug. 13",232,240,,Pearson (S. V.),The State provision of sana- toriums.,8vo.,"9 X5$, pp. 88, 35. net",CAMB. U. P.,Aug. 13
"Pearson's Book of fun, mirth and mystery. Cr. 8vo., pp. 124, bds. Is. net PEARSON, Oct. 13",232,240,,,"Pearson's Book of fun, mirth and mystery.",Cr. 8vo.,"pp. 124, bds. Is. net",PEARSON,Oct. 13
"Pearson's Humorous reciter and reader. Cheaper edit. Cr. 8vo., pp. 352, bds. is. net PEARSON, Oct. 13",232,240,,,Pearson's Humorous reciter and reader. Cheaper edit.,Cr. 8vo.,"pp. 352, bds. is. net",PEARSON,Oct. 13
"Pearson's Magazine. Vol. 35, Jan. June, 1913. Ryl. 8vo. 6s. net..... .PEARSON, June 13",232,240,,,"Pearson's Magazine. Vol. 35, Jan. June, 1913.",Ryl. 8vo.,6s. net..... .,PEARSON,June 13
"Pearson's Nautical almanack and tide tables, 1914. 8vo., bds., Is. and is. 6d. IMRAY, Oct. 13",232,240,,,"Pearson's Nautical almanack and tide tables, 1914.",8vo.,"bds., Is. and is. 6d.",IMRAY,Oct. 13
"Pease (Howard)— The Lord Wardens of the Marches of England and Scotland: being a brief history of the Marches, the laws of the March, &c., &c. Ryl. 8vo. 101 x64, pp. 272, IOS, 6d. net . CONSTABLE, Jan. 13",233,241,,Pease (Howard),"The Lord Wardens of the Marches of England and Scotland: being a brief history of the Marches, the laws of the March, &c., &c.",Ryl. 8vo.,"101 x64, pp. 272, IOS, 6d. net .",CONSTABLE,Jan. 13
"Pease (Sir Alfred E.-Some observations on the English land question. 8vo. swd. 2d. (Guisborough) STOKELD, Nov. 13",233,241,,Pease (Sir Alfred E.),Some observations on the English land question.,8vo.,swd. 2d. (Guisborough),STOKELD,Nov. 13
"Pease (Sir Alfred E., Bart.)—The Book of the lion. Illus. 8vo. 9 X54, pp. 312, 1os. 6d. net MURRAY, Nov. 13",233,241,,"Pease (Sir Alfred E., Bart.)",The Book of the lion. Illus.,8vo.,"9 X54, pp. 312, 1os. 6d. net",MURRAY,Nov. 13
"Pease and latter on Contracts. 2nd edit. Svo. Ios. BUTTERWORTH, Oct. 13",233,241,,,Pease and latter on Contracts. 2nd edit.,Svo.,Ios.,BUTTERWORTH,Oct. 13
"Peddie (R. A.)-Fifteenth-century books : guide to their identification. With list of the Latin names of towns, and an extensive bibliography. 8vo. 7} X5, pp. 89, 5s, net GRAFTON, Oct. 13",233,241,,Peddie (R. A.),"Fifteenth-century books : guide to their identification. With list of the Latin names of towns, and an extensive bibliography.",8vo.,"7} X5, pp. 89, 5s, net",GRAFTON,Oct. 13
"Pedley (H.)— Looking forward: the strange experience of the Rev. Fergus McCheyne. Cr. 8vo., 35. 6d. net CONGREGATIONAL UNION, Sep. 13",233,241,,Pedley (H.),Looking forward: the strange experience of the Rev. Fergus McCheyne.,Cr. 8vo.,35. 6d. net,CONGREGATIONAL UNION,Sep. 13
"Peebles (J. M.)-Christianity, Churchianity, or Spiritualism—which ? 8vo. swd. is. net I. N. FOWLER, July 13",233,241,,Peebles (J. M.),"Christianity, Churchianity, or Spiritualism—which ?",8vo.,swd. is. net,I. N. FOWLER,July 13
"Peel (Hon. George)—The Tariff reformers. Cr. 8vo. 74 X 5, pp. 198, 25. 6d. net METHUEN, Apr. 13",233,241,,Peel (Hon. George),The Tariff reformers.,Cr. 8vo.,"74 X 5, pp. 198, 25. 6d. net",METHUEN,Apr. 13
"Peel (Mrs. C. S.)The Hat shop. Cr. 8vo. 73 X5 Pp. 320, 6s. ... LANE, Nov. 13",233,241,,Peel (Mrs. C. S.),The Hat shop.,Cr. 8vo.,"73 X5 Pp. 320, 6s. ...",LANE,Nov. 13
"Peeps into Pepys. Ryl. _16mo., pp. 78, swd., 28. 6d. net. .A. L. HUMPHREYS, Oct. 13",233,241,,,Peeps into Pepys.,Ryl. _16mo.,"pp. 78, swd., 28. 6d. net. .",A. L. HUMPHREYS,Oct. 13
"Peerage of Japan : the Japan gazette. Ist edit. Very full and complete. Hundreds of portraits of royalty and nobility. Ryl. 8vo., pp. 988, £5 net LUZAC, Mar. 13",233,241,,,Peerage of Japan : the Japan gazette. Ist edit. Very full and complete. Hundreds of portraits of royalty and nobility.,Ryl. 8vo.,"pp. 988, £5 net",LUZAC,Mar. 13
"Peers (Mrs. C. R.)--In the National Gallery : a first introduction to the works of the early Italian Schools as there represented. Illus. Svo. 8} x 51, pp. 212, 5s. net P. LEEWARNER, Oct. 13",233,241,,Peers (Mrs. C. R.),In the National Gallery : a first introduction to the works of the early Italian Schools as there represented. Illus.,Svo.,"8} x 51, pp. 212, 5s. net",P. LEEWARNER,Oct. 13
Peet (Hubert W.) and Rose (John T.)-The Secular menace of Sunday. 4d. net SUNDAY SCHOOL UNION. Aug. 13,233,241,,Peet (Hubert W.) and Rose (John T.),The Secular menace of Sunday.,,4d. net,SUNDAY SCHOOL UNION.,Aug. 13
"Pegler (L. H.)-Anatomy and physiology of the fifth cranial or trigeminal nerve and of its ganglia and connections. A chart, 48 in. X 60 ins. 215. net; do., dissected and mounted on linen, in portfolio, 21s. net BAILLIÈRE, Sep. 13",233,241,,Pegler (L. H.),Anatomy and physiology of the fifth cranial or trigeminal nerve and of its ganglia and connections.,,"A chart, 48 in. X 60 ins. 215. net; do., dissected and mounted on linen, in portfolio, 21s. net",BAILLIÈRE,Sep. 13
"Pegler (L. H.)-Anatomy and physiology of the fifth cranial or trigeminal nerve and of its ganglia and connections. Chart mounted on roller, 48 in. x 60 in., 215. net; dissected, mounted on linen in portfolio,, with text advanced to 255. net ...BAILLIÈRE, Dec. 13",233,241,,Pegler (L. H.),Anatomy and physiology of the fifth cranial or trigeminal nerve and of its ganglia and connections.,,"Chart mounted on roller, 48 in. x 60 in., 215. net; dissected, mounted on linen in portfolio,, with text advanced to 255. net ...",BAILLIÈRE,Dec. 13
"Peile (James H. F.)-God or Mammon : counsel of perfection, addressed to the clergy and laity of the Church of England. Cr. 8vo., swd., is, net...... ....LONGMANS, Oct. 13",233,241,,Peile (James H. F.),"God or Mammon : counsel of perfection, addressed to the clergy and laity of the Church of England.",Cr. 8vo.,"swd., is, net...... ....",LONGMANS,Oct. 13
"Peixotto (Ernest)-Pacific shores from Panama. 8vo., Ios. 6d. net . BICKERS, Nov. 13",233,241,,Peixotto (Ernest),Pacific shores from Panama.,8vo.,Ios. 6d. net .,BICKERS,Nov. 13
"Peladan (J. A.)—St. Francis of Assisi : a play in 5 acts. Cr. 8vo., 3s. 6d. net DUCKWORTH, Oct. 13",233,241,,Peladan (J. A.),St. Francis of Assisi : a play in 5 acts.,Cr. 8vo.,3s. 6d. net,DUCKWORTH,Oct. 13
