original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Innes (A. D.)-Junior school British history. Pt. 1, To 1485. 4th impr. 3rd ed. 18mo. 6×4, pp. 86, swd. Is. ..RIVINGTON, July '19",122,134,,Innes (A. D.),"Junior school British history. Pt. 1, To 1485. 4th impr. 3rd ed.",18mo.,"6×4, pp. 86, swd. Is. ..",RIVINGTON,July '19
"Innes (A. D.)-Junior school British History. Pt. 2, 1485-1688. 18mo. 64, pp. 181, Is. 3d. RIVINGTON, July '19",122,134,,Innes (A. D.),"Junior school British History. Pt. 2, 1485-1688.",18mo.,"64, pp. 181, Is. 3d.",RIVINGTON,July '19
"Innes (A. D.)-Junior School British history. Pt. 3, 1688-1910. 18mo. 6×4, pp. 329, Is. 6d. RIVINGTON, July '19",122,134,,Innes (A. D.),"Junior School British history. Pt. 3, 1688-1910.",18mo.,"6×4, pp. 329, Is. 6d.",RIVINGTON,July '19
"Innes (Mary)--Schools of painting. 3rd. ed. Cr. 8vo. 7×5, pp. 295, 8s. net METHUEN, Dec. '19",122,134,,Innes (Mary),Schools of painting. 3rd. ed.,Cr. 8vo.,"7×5, pp. 295, 8s. net",METHUEN,Dec. '19
"Insurance (Nat. Health) Medical Research Ctte. -4th Annual report, year ending Sept. 30, 1918. 4d. H.M. STATIONERY OFF., Nov. '18",122,134,,,"Insurance (Nat. Health) Medical Research Ctte. -4th Annual report, year ending Sept. 30, 1918.",,4d.,H.M. STATIONERY OFF.,Nov. '18
"Insurance (Nat. Health)-Air Medical Investiga- tion Cttee. Reports: 8, Effects of diminished tension of oxygen; 9, The Ear in relation to certain disabilities in flying, 10d. H.M. STATIONERY OFF., Sep. '19",122,134,,,"Insurance (Nat. Health)-Air Medical Investiga- tion Cttee. Reports: 8, Effects of diminished tension of oxygen; 9, The Ear in relation to certain disabilities in flying,",,10d.,H.M. STATIONERY OFF.,Sep. '19
"Insurance (Nat. Health)-Behaviour during sick- ness provisional regulations, April 15, 1919, id.; Insurance committees (amendment) : draft regulations, May 16, 1919, 1d. H.M. STATIONERY OFF., May '19",122,134,,,"Insurance (Nat. Health)-Behaviour during sick- ness provisional regulations, April 15, 1919, id.; Insurance committees (amendment) : draft regulations, May 16, 1919, 1d.",,,H.M. STATIONERY OFF.,May '19
"Insurance (Nat. Health)-Fifth report, 1918, on the work of the Audit Dept. id. Inglenook: lyrics, Chambers (D.): Sep. 19 s Ingpen (Roger)-The Glory of Belgium. Illus. by W. L. Bruckman. Folio, 118, pp. 158, 20s. net . HODDER & S., Nov,. '19",122,134,,,"Insurance (Nat. Health)-Fifth report, 1918, on the work of the Audit Dept.",,id.,,
"Insurance (Nat. Health)-Fifth report, 1918, on the work of the Audit Dept. id. Inglenook: lyrics, Chambers (D.): Sep. 19 s Ingpen (Roger)-The Glory of Belgium. Illus. by W. L. Bruckman. Folio, 118, pp. 158, 20s. net . HODDER & S., Nov,. '19",122,134,,Chambers (D.),"Inglenook: lyrics,",,s,,Sep. 19
"Insurance (Nat. Health)-Fifth report, 1918, on the work of the Audit Dept. id. Inglenook: lyrics, Chambers (D.): Sep. 19 s Ingpen (Roger)-The Glory of Belgium. Illus. by W. L. Bruckman. Folio, 118, pp. 158, 20s. net . HODDER & S., Nov,. '19",122,134,,Ingpen (Roger),The Glory of Belgium. Illus. by W. L. Bruckman.,"Folio,","118, pp. 158, 20s. net .",HODDER & S.,"Nov,. '19"
