original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Ayscough (John)-Fernando. Cr. 8vo. 74x5, pp. 320, 75. net ...LONG, Nov. '18",14.0,30.0,,Ayscough (John),Fernando.,Cr. 8vo.,"74x5, pp. 320, 75. net ...",LONG,Nov. '18
"Ayscough (John)-Jacqueline. Cr. 8vo. 71 x 5, pp. 318, 6s. net .CHATTO & W., Mar.'18",14.0,30.0,,Ayscough (John),Jacqueline.,Cr. 8vo.,"71 x 5, pp. 318, 6s. net .",CHATTO & W.,Mar.'18
"Ayscough (John)-The Tideway. Cr. 8vo. 78 x 5, pp. 320, 6s. net ..LONG, Feb. '18",14.0,30.0,,Ayscough (John),The Tideway.,Cr. 8vo.,"78 x 5, pp. 320, 6s. net ..",LONG,Feb. '18
"Azimuddin Ahmad-Sams al-Ulum : die au Sudarabien bezüglichen Angaben Naswans Gesammelt, alphabetisch geordnet und heraus- gegeben von Azimuddin Ahmad Ryl. 8vo. pp. 230, 55. (Gibb Memorial Fund, Vol. 24.) LUZAC, Apr. '18.",14.0,30.0,,Azimuddin Ahmad,"Sams al-Ulum : die au Sudarabien bezüglichen Angaben Naswans Gesammelt, alphabetisch geordnet und heraus- gegeben von Azimuddin Ahmad",Ryl. 8vo.,"pp. 230, 55. (Gibb Memorial Fund, Vol. 24.)",LUZAC,Apr. '18.
"B. E. F. Times (The): a facsimile reprint of the trench magazine. Fol. 10 X7}, 75. 6d. net JENKINS, Oct. '18",14.0,30.0,,,B. E. F. Times (The): a facsimile reprint of the trench magazine.,Fol.,"10 X7}, 75. 6d. net",JENKINS,Oct. '18
"Babu Lal Sud-Some thoughts. &vo. pp. 20, swd. 6d. net ..ST. CLEMENTS PR., Oa.'18",14.0,30.0,,Babu Lal Sud,Some thoughts.,&vo.,"pp. 20, swd. 6d. net ..",ST. CLEMENTS PR.,Oa.'18
"Bacheller (Irving)—The Light in the clearing : a tale of the North Country in the time of Slias Wright. Cr. 8vo. 71 x 51, pp. 329, 6s. pet COLLINS, Nov. '18",14.0,30.0,,Bacheller (Irving),The Light in the clearing : a tale of the North Country in the time of Slias Wright.,Cr. 8vo.,"71 x 51, pp. 329, 6s. pet",COLLINS,Nov. '18
"Bacon (Charlotte) A Gallant affair. Cr. 8vo. 7X 41, pp. 61, 28. 6d. net E. MACDONALD, Sep. '18",15.0,31.0,,Bacon (Charlotte),A Gallant affair.,Cr. 8vo.,"7X 41, pp. 61, 28. 6d. net",E. MACDONALD,Sep. '18
"Bacon's New large-print map of London and Suburbs. Extending from Hampton Court to Greenwich and Highgate to the Crystal Palace. Cr. 8vo. 71 x 5 (case) on cl. 3s. net, on ppr. is. 3d. net BACON, Aug '18",15.0,31.0,,,Bacon's New large-print map of London and Suburbs. Extending from Hampton Court to Greenwich and Highgate to the Crystal Palace.,Cr. 8vo.,"71 x 5 (case) on cl. 3s. net, on ppr. is. 3d. net",BACON,Aug '18
"Baddeley (W. L. C., Col.)---Which ? Freedom or slavery? a summary of the events that led to the great crusade against Germanism and Pan-Germanism. 91 x 6], pp. 40, IS. (Montreux Palace Hotel, Montreux, Switzer- land), AUTHOR, Apr. '18",15.0,31.0,,"Baddeley (W. L. C., Col.)",Which ? Freedom or slavery? a summary of the events that led to the great crusade against Germanism and Pan-Germanism.,,"91 x 6], pp. 40, IS. (Montreux Palace Hotel, Montreux, Switzer- land)",AUTHOR,Apr. '18
