original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Rita-A Man of no importance. 12mo., 7d. net HURST & B., Sep. 14",234,242,,,Rita-A Man of no importance.,12mo.,7d. net,HURST & B.,Sep. 14
"Rita— Jill-all-alone. Cr. 8vo. 71 X41, pp. 336, 6s. .S. PAUL, Mar. 14",234,242,,,Rita— Jill-all-alone.,Cr. 8vo.,"71 X41, pp. 336, 6s. .",S. PAUL,Mar. 14
"Rita—4 Jilt's journal. Reissue. 8vo., 6d. swd. ..J. LONG, July 14",234,242,,,Rita—4 Jilt's journal. Reissue.,8vo.,6d. swd. ..,J. LONG,July 14
"Rita—Countess Daphne. 12mo., 7d. net HURST & B., May 14",234,242,,Rita,Countess Daphne.,12mo.,7d. net,HURST & B.,May 14
"Rita—Grey life : a romance of Bath. Cheaper edit. Cr. 8vo. 7* *4*, pp. 348, 25. net S. PAUL, May 14",234,242,,,Rita—Grey life : a romance of Bath. Cheaper edit.,Cr. 8vo.,"7* *4*, pp. 348, 25. net",S. PAUL,May 14
"Rita—The House opposite. 12mo., 7d. net NEWNES, Jan. 14",234,242,,,Rita—The House opposite.,12mo.,7d. net,NEWNES,Jan. 14
"Rita. That is to say. 8vo. swd. 6d. S. PAUL, Mar. 14",234,242,,Rita.,That is to say.,8vo.,swd. 6d.,S. PAUL,Mar. 14
"Ritchie (R. L. G.) and Moore (J. M.)--A Manual of French composition, for universities and the higher classes of schools. 8vo. 9 X54, pp. 286, 78. 6d. net ...... CAMB. UNIV. PRESS, Dec. 14",234,242,,Ritchie (R. L. G.) and Moore (J. M.),"A Manual of French composition, for universities and the higher classes of schools.",8vo.,"9 X54, pp. 286, 78. 6d. net ...... ",CAMB. UNIV. PRESS,Dec. 14
"Ritchie (William Thomas)-Auricular flutter. Ryl. 8vo. 10 X6, pp. 156, 1os. 6d net W. GREEN, May 14",234,242,,Ritchie (William Thomas),Auricular flutter.,Ryl. 8vo.,"10 X6, pp. 156, 1os. 6d net",W. GREEN,May 14
"Rittenburg (Max)—Every man his price. Gr. 8vo. 74 X 5, pp. 318, 6s.........METHUEN, Nov. 14",234,242,,Rittenburg (Max),Every man his price.,Gr. 8vo.,"74 X 5, pp. 318, 6s.........",METHUEN,Nov. 14
"Rittenburg (Max)—The Modern Chesterfield: being a series of letters from a self-made Baronet to his son. Cr. 8vo. 7 * x5, pp. 202, 35. 6d. net ..HURST & B., Apr. 14",234,242,,Rittenburg (Max),The Modern Chesterfield: being a series of letters from a self-made Baronet to his son.,Cr. 8vo.,"7 * x5, pp. 202, 35. 6d. net ..",HURST & B.,Apr. 14
"River warfare, Manual of training for jungle and, Casserly (G.) 3s. 6d. net Rivers (A. R.)-Sunday school lessons on the Acts of the Apostles. 2nd ser. Cr. 8vo., limp, is. GARDNER, D., Nov. 14",235,243,,,"River warfare, Manual of training for jungle and,",,3s. 6d. net,Casserly (G.),
"River warfare, Manual of training for jungle and, Casserly (G.) 3s. 6d. net Rivers (A. R.)-Sunday school lessons on the Acts of the Apostles. 2nd ser. Cr. 8vo., limp, is. GARDNER, D., Nov. 14",235,243,,Rivers (A. R.),Sunday school lessons on the Acts of the Apostles. 2nd ser.,"Cr. 8vo.,","limp, is.","GARDNER, D.",Nov. 14
"Rivers (W. H. R.)-Kinship and social organi- zation. 8vo. 87 X 5), pp. 104, 25. 6d. net CONSTABLE, Mar. 14",235,243,,Rivers (W. H. R.),Kinship and social organi- zation.,8vo.,"87 X 5), pp. 104, 25. 6d. net",CONSTABLE,Mar. 14
"Rives (Amelie) — World's end. Cr. 8vo. 8 X 4*, HURST & B., July 14",235,243,,Rives (Amelie),World's end.,Cr. 8vo.,8 X 4*,HURST & B.,July 14
"Riviere (Clive)—The Early diagnosis of tubercle. Cr. 8vo. 7* X5, pp. 272, 6s. net. (Oxford medical publications) ..FROWDE, Jan. 14",235,243,,Riviere (Clive),The Early diagnosis of tubercle.,Cr. 8vo.,"7* X5, pp. 272, 6s. net. (Oxford medical publications)",FROWDE,Jan. 14
"Rivingtons' Graded first Latin books. Books 2-3. 12mo., limp, ea. is... RIVINGTONS, June, Sep. 14",235,243,,,Rivingtons' Graded first Latin books. Books 2-3.,12mo.,"limp, ea. is...",RIVINGTONS,"June, Sep. 14"
"Road Board--4th annual report. 8}d. WYMAN, July 14",235,243,,,Road Board--4th annual report.,,8}d.,WYMAN,July 14
"Robb (Alfred A.)-A Theory of time and space. Ryl, 8vo. 91 X63, pp. 380, ros. 6d. net CAMB. UNIV. PRESS, Nov. 14",235,243,,Robb (Alfred A.),A Theory of time and space.,"Ryl, 8vo.","91 X63, pp. 380, ros. 6d. net",CAMB. UNIV. PRESS,Nov. 14
"Roberts (E. Cecil)--Through eyes of youth. Cr. 8vo. 28. 6d. net ..J. CLARKE, Mar. 14",235,243,,Roberts (E. Cecil),Through eyes of youth.,Cr. 8vo.,28. 6d. net ..,J. CLARKE,Mar. 14
"Roberts (G. A.) and Chaytor (H. J.)- Second year direct French course. Cr. 8vo. 7X41, pp. 216, 28. ..CLIVE, Oct. 14",235,243,,Roberts (G. A.) and Chaytor (H. J.),Second year direct French course.,Cr. 8vo.,"7X41, pp. 216, 28. ..",CLIVE,Oct. 14
