original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Borrow (George)—The Romany Rye. 12mo., pp. 498, is. net (Illus. pocket classics) COLLINS, June 15",33,41,,Borrow (George),The Romany Rye.,12mo.,"pp. 498, is. net (Illus. pocket classics)",COLLINS,June 15
"Bosanquet (Bernard)—Three lectures on aesthetic. Cr. 8vo. 71 x 5, pp. 128, 3s. 6d. net MACMILLAN, Mar. 15",34,42,,Bosanquet (Bernard),Three lectures on aesthetic.,Cr. 8vo.,"71 x 5, pp. 128, 3s. 6d. net",MACMILLAN,Mar. 15
"Bosanquet (Helen)—The Family. 8vo. 9X51, pp. 354, 8s. 6d. net ....MACMILLAN, Mar. 15",34,42,,Bosanquet (Helen),The Family.,8vo.,"9X51, pp. 354, 8s. 6d. net ....",MACMILLAN,Mar. 15
"Bossière (René E.)—Towards peace through money : abridged from “ Vers l'apaisement par l'argent.” Cr. 8vo. 71 X41, pp. 94, 29. 6d. net SIMPKIN, Jan 15",34,42,,Bossière (René E.),Towards peace through money : abridged from “ Vers l'apaisement par l'argent.”,Cr. 8vo.,"71 X41, pp. 94, 29. 6d. net",SIMPKIN,Jan 15
"Boswell (Foster P.)— The Aims and defects of college education. With intro. by George Eastman. Cr. 8vo., 35. 6d. net PUTNAM, Nov. 15",34,42,,Boswell (Foster P.),The Aims and defects of college education. With intro. by George Eastman.,Cr. 8vo.,35. 6d. net,PUTNAM,Nov. 15
"Botanic Garden (Royal, Edinburgh)--Notes, Jan., Mar., May, 1915. ea. gd., WYMAN, Mar., etc. 15",34,42,,,"Botanic Garden (Royal, Edinburgh)--Notes, Jan., Mar., May, 1915.",,"ea. gd.,",WYMAN,"Mar., etc. 15"
"Botany (Annals of). Vol. 29, nos. 113-116, ea. 14s. (Clarendon Pr.) MILFORD, Feb., etc. 15",34,42,,,"Botany (Annals of). Vol. 29, nos. 113-116, ea. 14s.",,,(Clarendon Pr.) MILFORD,"Feb., etc. 15"
"Bothwell-Gosse (A.)—The Magic of the Pyramids and the mystery of the Sphinx. Cr. 8vo. 25. 6d. net ..THEOSOPHICAL PUB. Co., Feb. 15",34,42,,Bothwell-Gosse (A.),The Magic of the Pyramids and the mystery of the Sphinx.,Cr. 8vo.,25. 6d. net ..,THEOSOPHICAL PUB. Co.,Feb. 15
"Botrel (Théodore) Songs of Brittany. Done into English by G. E. Morrison. 16mo., pp. 80, Is. 6d. net; swd., Is. net (Vigo cabinet ser.) MATHEWS, Apr. 15",34,42,,Botrel (Théodore),Songs of Brittany. Done into English by G. E. Morrison.,16mo.,"pp. 80, Is. 6d. net; swd., Is. net (Vigo cabinet ser.)",MATHEWS,Apr. 15
"Botsford (Willis)-Syllabus of Roman history. Cr. 8vo., 25. 6d. net ...MACMILLAN, Oct. 15",34,42,,Botsford (Willis),Syllabus of Roman history.,Cr. 8vo.,25. 6d. net ...,MACMILLAN,Oct. 15
"Bott (W. E.)—Candle ends. 51 X 4), pp. 63, 28. net .ELYSIAN PUB, Assn., Feb. 15",34,42,,Bott (W. E.),Candle ends.,,"51 X 4), pp. 63, 28. net .","ELYSIAN PUB, Assn.",Feb. 15
"Bottome (Phyllis)—The Captive : novel. Cr. 8vo. 71 x 5, pp. 300, 6s. CHAPMAN & H., May 15",34,42,,Bottome (Phyllis),The Captive : novel.,Cr. 8vo.,"71 x 5, pp. 300, 6s.",CHAPMAN & H.,May 15
"Bottone (W. B.) and Smart (W. F.)-The Steno. graphic expert. New and enlarged ed. Cr. 8vo. 55. net PITMAN, Apr. 15",34,42,,Bottone (W. B.) and Smart (W. F.),The Steno. graphic expert. New and enlarged ed.,Cr. 8vo.,55. net,PITMAN,Apr. 15
"Boucicault (Ruth N.)-The Substance of his house. Cr. 8vo. 71 X 5, pp. 396, 6s. ALLEN & U., July 15",34,42,,Boucicault (Ruth N.),The Substance of his house.,Cr. 8vo.,"71 X 5, pp. 396, 6s.",ALLEN & U.,July 15
"Boulton (T.)-Fire brigade work for Boy Scouts. 16mo. swd. 6d, net ......J. BROWN, June 15",34,42,,Boulton (T.),Fire brigade work for Boy Scouts.,16mo.,"swd. 6d, net",J. BROWN,June 15
