original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Osborne - Report by the House-Governor and Medical Superintendent, 1914-15. 1 d. WYMAN, Nov. 15",201,209,,,"Osborne - Report by the House-Governor and Medical Superintendent, 1914-15.",,1 d.,WYMAN,Nov. 15
"Osborne (E. W.)—Boys and girls I have known. Cr. Svo. 71 x 58, pp. 92, 25. net S.P.C.K., Oct. 15",201,209,,Osborne (E. W.),Boys and girls I have known.,Cr. Svo.,"71 x 58, pp. 92, 25. net",S.P.C.K.,Oct. 15
"Osbourne (William S.)--Marine engineers' engine room reference book. 12mo., pp. 32, 6d. net MUNRO, Mar, 15",202,210,,Osbourne (William S.),Marine engineers' engine room reference book.,12mo.,"pp. 32, 6d. net",MUNRO,"Mar, 15"
"Oschwald (U. A.) See Murdoch (W. H. F.) and Oschwald. Oscroft (P. W.)-Advanced inorganic chemistry. Cr. 8vo., 71 X5, pp. 512, 5s, net BELL, Jan. 15",202,210,Oschwald (U. A.) See Murdoch (W. H. F.) and Oschwald.,Oscroft (P. W.),Advanced inorganic chemistry.,Cr. 8vo.,"71 X5, pp. 512, 5s, net",BELL,Jan. 15
"Osgood (Irène)-A Blood-moon ; the Buhl cabinet and Stories from Algiers. Cr. 8vo., 28. ..J. RICHMOND, Mar. 15",202,210,,Osgood (Irène),A Blood-moon ; the Buhl cabinet and Stories from Algiers.,Cr. 8vo.,28. ..,J. RICHMOND,Mar. 15
"Osgood (Irène)-Servitude. 91 x6, pp. 399. Ed. de luxe, 7s, 6d. .... RICHMOND, Mar. 15",202,210,,Osgood (Irène),Servitude.,,"91 x6, pp. 399. Ed. de luxe, 7s, 6d. ....",RICHMOND,Mar. 15
"Osgood (Irene)—To a nun confess'd: letters from Yolande to Sister Mary. 20th ed. Cr. 8vo. 71x4, pp. 226, 3s. 6d. net RICHMOND, May 15",202,210,,Osgood (Irene),To a nun confess'd: letters from Yolande to Sister Mary. 20th ed.,Cr. 8vo.,"71x4, pp. 226, 3s. 6d. net",RICHMOND,May 15
"Osler (Sir William) and McCrau (T.) eds.- A System of medicine. 2nd ed., rev. 5 vols. Ryl. 8vo. 97 X6}, ea. 355. net (Oxford Medical pubs.) MILFORD, Dec. 15",202,210,,Osler (Sir William) and McCrau (T.) eds.,"A System of medicine. 2nd ed., rev. 5 vols.",Ryl. 8vo.,"97 X6}, ea. 355. net (Oxford Medical pubs.)",MILFORD,Dec. 15
"Osler (Sir William)-Science and war. 8vo. 9x6, pp. 40, is. 6d. net (Clarendon Pr.), MILFORD, Nov. 15",202,210,,Osler (Sir William),Science and war.,8vo.,"9x6, pp. 40, is. 6d. net","(Clarendon Pr.), MILFORD",Nov. 15
"Osmaston (F. P. B.)— The Art and genius of Tintoret. 2 vols. 4to., 525. 6d. net BELL, May 15",202,210,,Osmaston (F. P. B.),The Art and genius of Tintoret. 2 vols.,4to.,525. 6d. net,BELL,May 15
"Ottley (Robert Lawrence)-The Rule of work and worship : an exposition of the Lord's Prayer. 8vo. 9 X54, pp. 252, 5s, net R. SCOTT, Feb. 15",202,210,,Ottley (Robert Lawrence),The Rule of work and worship : an exposition of the Lord's Prayer.,8vo.,"9 X54, pp. 252, 5s, net",R. SCOTT,Feb. 15
"Ottman (Nina)— The Stolen god and other experiences of Indian palace life. Cr. 8vo., pp. 102, swd., Is. net .CAREY PR., Aug. 15",202,210,,Ottman (Nina),The Stolen god and other experiences of Indian palace life.,Cr. 8vo.,"pp. 102, swd., Is. net .",CAREY PR.,Aug. 15
"Oulda--Two little wooden shoes. 18mo. 61 x 51, pp. 256, is. net (Harlequin bks.) CHATTO & W., Oct. 15",202,210,,Oulda,Two little wooden shoes.,18mo.,"61 x 51, pp. 256, is. net (Harlequin bks.)",CHATTO & W.,Oct. 15
"Our army and navy : 64 large plates illustrating the British forces by land and sea, with explana- tory letterpress. Oblong 4to. is. net NELSON, June 15",202,210,,,"Our army and navy : 64 large plates illustrating the British forces by land and sea, with explana- tory letterpress.",Oblong 4to.,is. net,NELSON,June 15
"Our boys' book of the Navy. 4to. 10 X 77, pp. 106, 38. 6d. ..NEWNES, Nov. 15",202,210,,,Our boys' book of the Navy.,4to.,"10 X 77, pp. 106, 38. 6d. ..",NEWNES,Nov. 15
