original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Clay (B.)-Beyond pardon. Cr. 8vo. Is. 6d. net W. NICHOLSON, Oct. '17",45,53,,Clay (B.),Beyond pardon.,Cr. 8vo.,Is. 6d. net,W. NICHOLSON,Oct. '17
"Clay (Bertha M.)--A Woman snared. 8vo. 81x6, pp. 126, 6d. .NEWNES, July '17",45,53,,Clay (Bertha M.),A Woman snared.,8vo.,"81x6, pp. 126, 6d. .",NEWNES,July '17
"Cleaver (Hylton)-The Tempting thought. Cr. 8vo. 71 X 5, pp. 313, 6s. ..MILLS & B., Oct. '17",45,53,,Cleaver (Hylton),The Tempting thought.,Cr. 8vo.,"71 X 5, pp. 313, 6s. ..",MILLS & B.,Oct. '17
"Cleeve (Lucas)-The Hoverers. 8vo. 6d. GREENING, Sep. '17",45,53,,Cleeve (Lucas),The Hoverers.,8vo.,6d.,GREENING,Sep. '17
"Clennell (W. J.)-The Historical development of religion in China. Cr. 8vo. 73 x 57, pp. 260, 65. net UNWIN, Feb. ry Civil Contingencies Fund-Accounts, 1915-16. id. WYMAN, Nov. 16",45,53,,Clennell (W. J.),The Historical development of religion in China.,Cr. 8vo.,"73 x 57, pp. 260, 65. net",UNWIN,Feb. ry
"Clennell (W. J.)-The Historical development of religion in China. Cr. 8vo. 73 x 57, pp. 260, 65. net UNWIN, Feb. ry Civil Contingencies Fund-Accounts, 1915-16. id. WYMAN, Nov. 16",45,53,,,"Civil Contingencies Fund-Accounts, 1915-16.",,id.,WYMAN,Nov. 16
"Clergy directory and parish guide, 1917. Cr. 8vo. 71 x 51, pp. 838, 45. 6d. net (99, Shoe La., E.C.) J. S. PHILLIPS, Feb. 17",46,54,,,"Clergy directory and parish guide, 1917.",Cr. 8vo.,"71 x 51, pp. 838, 45. 6d. net (99, Shoe La., E.C.)",J. S. PHILLIPS,Feb. 17
"Cleveland (John)-Hustler Paul. Reissue. Cr. 8vo. 74 X5, pp. 408, 23. net SIDGWICK & J., May 17",46,54,,Cleveland (John),Hustler Paul. Reissue.,Cr. 8vo.,"74 X5, pp. 408, 23. net",SIDGWICK & J.,May 17
"Clifford (Mrs. W. K.)-The House in Marylebone : a chronicle. Cr. 8vo. 71 x 54, pp. 280, 28. 6d. net DUCKWORTH, July ’17",46,54,,Clifford (Mrs. W. K.),The House in Marylebone : a chronicle.,Cr. 8vo.,"71 x 54, pp. 280, 28. 6d. net",DUCKWORTH,July ’17
"Clive (Ethel)-England and her Allies' greatest hope of peace. 6] x 4), pp. 35, is. net STOCK, May '17",46,54,,Clive (Ethel),England and her Allies' greatest hope of peace.,,"6] x 4), pp. 35, is. net",STOCK,May '17
"Clodd (Edward)— The Question : “ If a man die, shall he live again ? "" a brief history and examination of modern spiritualism. Postscript by Prof. H. E. Armstrong. Evo. 9X 58, pp. 314, 103. 60. net. RICHARDS, Dec. '17",46,54,,Clodd (Edward),"The Question : “ If a man die, shall he live again ? "" a brief history and examination of modern spiritualism. Postscript by Prof. H. E. Armstrong.",Evo.,"9X 58, pp. 314, 103. 60. net.",RICHARDS,Dec. '17
"Cloud in the East (A) and what it means to the West-and to you (China). Illus. Cr. 8vo. pp. 78, swd. gratis SALVATION ARMY, Aug. '17",46,54,,,Cloud in the East (A) and what it means to the West-and to you (China).,Cr. 8vo.,"Illus. pp. 78, swd. gratis",SALVATION ARMY,Aug. '17
"Clough (Mrs. Smith)-A Typewriting catechism. New ed., rev. Ryl. 8vo. 101 x8, pp. 150, 28. 6d. net . PITMAN, Mar. 17",46,54,,Clough (Mrs. Smith),"A Typewriting catechism. New ed., rev.",Ryl. 8vo.,"101 x8, pp. 150, 28. 6d. net .",PITMAN,Mar. 17
"Clouston (J. Storer)-The Spy in black. Cr. 8vo. 74 x 5, pp. 347, 5s. net W. BLACKWOOD, Dec. '17",46,54,,Clouston (J. Storer),The Spy in black.,Cr. 8vo.,"74 x 5, pp. 347, 5s. net",W. BLACKWOOD,Dec. '17
"Clowes (Frank) and Columan (J. Bernard) Quantitative chemical analysis. Adapted for use in the laboratories of colleges and technical institutes. with ed. 8vo. 9 X5}, pp. 604, 125. 6.1. net CHURCHILL, Dec. '17",46,54,,Clowes (Frank) and Columan (J. Bernard),Quantitative chemical analysis. Adapted for use in the laboratories of colleges and technical institutes. with ed.,8vo.,"9 X5}, pp. 604, 125. 6.1. net",CHURCHILL,Dec. '17
"Co k (W. Hendy)-Thoughts on the Seven Words ficm the Cross. Cr. 8vo. 74x5, pp. 49, Is. net R. SCOTT, Jan. 17",46,54,,Co k (W. Hendy),Thoughts on the Seven Words ficm the Cross.,Cr. 8vo.,"74x5, pp. 49, Is. net",R. SCOTT,Jan. 17
"Coal (Output of) in the U.K.-Return showing estimated quantities raised in ea. quarter of 1916, comp. w. Corres. periods 1915, 1914. Id. WYMAN, Mar. 17",46,54,,,"Coal (Output of) in the U.K.-Return showing estimated quantities raised in ea. quarter of 1916, comp. w. Corres. periods 1915, 1914.",,Id.,WYMAN,Mar. 17
"Coates (William)-The Alternative vote and what it would effect. 84 X 51, pp. 20, 61. net P. S. KING, June '17",46,54,,Coates (William),The Alternative vote and what it would effect.,,"84 X 51, pp. 20, 61. net",P. S. KING,June '17
