original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Cooke (Marjorie B.)--The Girl who lived in the woods. Cr. 8vo. 74 x 5, pp. 304, 6s. JARROLDS, Feb. '17",50,58,,Cooke (Marjorie B.),The Girl who lived in the woods.,Cr. 8vo.,"74 x 5, pp. 304, 6s.",JARROLDS,Feb. '17
"Cooke (Marjorie Benton)-Cinderella Jane. Cr. 8vo. 74 X 5, pp. 304, 6s..... JARROLDS Nov. '17",50,58,,Cooke (Marjorie Benton),Cinderella Jane.,Cr. 8vo.,"74 X 5, pp. 304, 6s.....",JARROLDS,Nov. '17
"Cooke (W. J.)--Psalms, meditative and militant : new metrical paraphrase. 16mo. 25. net STOCK, Feb. '17",50,58,,Cooke (W. J.),"Psalms, meditative and militant : new metrical paraphrase.",16mo.,25. net,STOCK,Feb. '17
"Coolidge (Dane)-The Desert trail. Cr. 8vo. 78 x 54, pp. 251, 25. 6d, net METHUEN, Aug. '17",51,59,,Coolidge (Dane),The Desert trail.,Cr. 8vo.,"78 x 54, pp. 251, 25. 6d, net",METHUEN,Aug. '17
"Coolidge (Susan)--What Katy did at school. New ea. IS. 3d. net FROWDE AND H. & S., Dec. '17",51,59,,Coolidge (Susan),What Katy did at school. New ea.,,IS. 3d. net,FROWDE AND H. & S.,Dec. '17
"Coolidge (Susan)-The Katy book. Abridged. 4to. pp. 64, Is. 6d. net. ... NELSON, June 17",51,59,,Coolidge (Susan),The Katy book. Abridged.,4to.,"pp. 64, Is. 6d. net. ...",NELSON,June 17
"Coolidge (Susan)—What Katy did at school. New ed. Cr. 8vo. 8 X 51, pp. 157, IS. 6d. net SEELEY, S., Sep. '17",51,59,,Coolidge (Susan),What Katy did at school. New ed.,Cr. 8vo.,"8 X 51, pp. 157, IS. 6d. net","SEELEY, S.",Sep. '17
"Coomaraswamy (A. K.)-Indian_music. Ryl. 8vo. Pp. 9, is. 6d. .LOZAC, Apr. 17",51,59,,Coomaraswamy (A. K.),Indian_music.,Ryl. 8vo.,"Pp. 9, is. 6d. .",LOZAC,Apr. 17
"Coomaraswamy (A.) and Duggirala (G. K.) tr.-- The Mirror of gesture. Illus. Med. 8vo. 976, pp. 59, 65. 6d. net ..MILFORD, Apr. 17",51,59,,Coomaraswamy (A.) and Duggirala (G. K.) tr.,The Mirror of gesture. Illus.,Med. 8vo.,"976, pp. 59, 65. 6d. net ..",MILFORD,Apr. 17
"Cooper (G. Stanley)--By-product coking. 8fX51, pp. 174, 75. 6d. net (31, Christopher St., E.C. 2) BENN Bros., July ’17",51,59,,Cooper (G. Stanley),By-product coking.,,"8fX51, pp. 174, 75. 6d. net (31, Christopher St., E.C. 2)",BENN Bros.,July ’17
"Cooper (J. Fenimore)-The Last of the Mohicans. Cr. 8vo. Is. 3d. net .CHAMBERS, July ’17",51,59,,Cooper (J. Fenimore),The Last of the Mohicans.,Cr. 8vo.,Is. 3d. net .,CHAMBERS,July ’17
"Cooper (J. Fenimore)-The Pathfinder. Cr. 8vo. IS. 3d. net ..CHAMBERS, July ’17",51,59,,Cooper (J. Fenimore),The Pathfinder.,Cr. 8vo.,IS. 3d. net,CHAMBERS,July ’17
"Cooper (James, Rt. Rev.)-General Assembly prayers, 1917. 74 x 5, pp. 80, 28, 6d. net MACLEHOSE, Sep. '17",51,59,,"Cooper (James, Rt. Rev.)","General Assembly prayers, 1917.",,"74 x 5, pp. 80, 28, 6d. net",MACLEHOSE,Sep. '17
"Cooper (James)-Our sacred heritage. 81x5, pp. 59, 6d. net. ..BLACKWOOD, June'17",51,59,,Cooper (James),Our sacred heritage.,,"81x5, pp. 59, 6d. net. ..",BLACKWOOD,June'17
"Cooper (W. R.)Primary batteries : their theory, construction, and use. New and enl. ed. 8} x 51, pp. 467, 125. 6d. net. ELECTRICIAN PR. AND PUB, Co., Feb. 17",51,59,,Cooper (W. R.),"Primary batteries : their theory, construction, and use. New and enl. ed.",,"8} x 51, pp. 467, 125. 6d. net.","ELECTRICIAN PR. AND PUB, Co.",Feb. 17
"Coote (Constance)-To-night and other verses. 5 X 4, pp. 34. 5d. (Tunbridge Wella : 11, High St.) A. J. PELTON, Sep. '17",51,59,,Coote (Constance),To-night and other verses.,,"5 X 4, pp. 34. 5d. (Tunbridge Wella : 11, High St.)",A. J. PELTON,Sep. '17
"Coote (Lady Constance)-The Bread of tears, and other verses. 16mo. pp. 28, 3d. MARSHALL BROS., Mar. '17",51,59,,Coote (Lady Constance),"The Bread of tears, and other verses.",16mo.,"pp. 28, 3d.",MARSHALL BROS.,Mar. '17
