original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Deshumbert (M.)--An Ethical system based on the laws of nature. Tr by Lionel Giles. 71 x 41, pp. 231, 25. 6d. net OPEN COURT Co., Nov. '17",60,68,,Deshumbert (M.),An Ethical system based on the laws of nature. Tr by Lionel Giles.,,"71 x 41, pp. 231, 25. 6d. net",OPEN COURT Co.,Nov. '17
"Despard (L. L.)-Text-book of massage. 2nd ed. Advanced to 16s. net . . MILFORD, Mar. 17",60,68,,Despard (L. L.),Text-book of massage. 2nd ed.,,Advanced to 16s. net . .,MILFORD,Mar. 17
"Despott (G.)-Ornithology of Malta. (Ibis, 1917) 8vo. 9 X 51, pp. 130, swd. 16s. net WESLEY, Oct. '17",60,68,,Despott (G.),"Ornithology of Malta. (Ibis, 1917)",8vo.,"9 X 51, pp. 130, swd. 16s. net",WESLEY,Oct. '17
"Desson (Georges) --A Hostage in Germany. Tr. by Lee Holt. Cr. 8vo. 8 X 51, pp. 153, 35. 6d. net CONSTABLE, A pr. 17",60,68,,Desson (Georges),A Hostage in Germany. Tr. by Lee Holt.,Cr. 8vo.,"8 X 51, pp. 153, 35. 6d. net",CONSTABLE,A pr. 17
"Destrée (Jules) - The Deportations of Belgian workmen. Tr. fr. French texts. Cr. 8vo. Pp. 43, 2d. net ... UNWIN, May 17",60,68,,Destrée (Jules),The Deportations of Belgian workmen. Tr. fr. French texts.,Cr. 8vo.,"Pp. 43, 2d. net ...",UNWIN,May 17
"Destrée (Jules) and Dupierreux (Richard)- To the Italian Armies. 8vo. 84x5}, pp. 88, swd. 60. UNWIN, Sep. '17",60,68,,Destrée (Jules) and Dupierreux (Richard),To the Italian Armies.,8vo.,"84x5}, pp. 88, swd. 60.",UNWIN,Sep. '17
"Destrée (Jules)—Britain in (L'Effort britannique). Pref. by Georges Clemenceau. Trans. by J. Lewis May. Cr. 8vo. 73 x 5, pp. 292, 5s.net LANE, June 17",60,68,,Destrée (Jules),Britain in (L'Effort britannique). Pref. by Georges Clemenceau. Trans. by J. Lewis May.,Cr. 8vo.,"73 x 5, pp. 292, 5s.net",LANE,June 17
"Development Commission-6th Report, for 1915-16. 2d. WYMAN, Feb. 17",60,68,,,"Development Commission-6th Report, for 1915-16.",,2d.,WYMAN,Feb. 17
"Development Fund-Accounts, 1915–16. id. WYMAN, Mar. 17",60,68,,,"Development Fund-Accounts, 1915–16.",,id.,WYMAN,Mar. 17
"Devonian year book, 1917. Ed. by R. Pearse Chope. 8vo. 8} x 51, pp. 134, 2s. 6d. net (Sardinia House, Kingsway, W.C.) LONDON DEVONIAN ASSN., May 17",60,68,,,"Devonian year book, 1917. Ed. by R. Pearse Chope.",8vo.,"8} x 51, pp. 134, 2s. 6d. net (Sardinia House, Kingsway, W.C.)",LONDON DEVONIAN ASSN.,May 17
"Dewall (H. D.)-Timber framing. 8vo. pp. 275, 8s. 61. net (Mining Mag.) TECHNICAL BOOKSHOP, July’17",60,68,,Dewall (H. D.),Timber framing.,8vo.,"pp. 275, 8s. 61. net (Mining Mag.)",TECHNICAL BOOKSHOP,July’17
"Dexter (F. B.) ed.-Documentary history of Yale University under the original charter of the Collegiate School of Connecticut, 1701-1745. Ryl. 8vo. 101x77, pp. 402, 175. net MILFORD, Jan. 17",60,68,,Dexter (F. B.) ed.,"Documentary history of Yale University under the original charter of the Collegiate School of Connecticut, 1701-1745.",Ryl. 8vo.,"101x77, pp. 402, 175. net",MILFORD,Jan. 17
"Dicey (A. V.)- The Statesmanship of Wordsworth: an essay. 8vo. 9 x6, pp. 142, 4s. 6d. net (Clarendon Pr.) MILFORD, May 17",60,68,,Dicey (A. V.),The Statesmanship of Wordsworth: an essay.,8vo.,"9 x6, pp. 142, 4s. 6d. net (Clarendon Pr.)",MILFORD,May 17
"Dick (J. Stewart)-Ideals of painting and the study of painting in general. 81 X54, pp. 23, NAT HOME READING UNION, Nov. '17",60,68,,Dick (J. Stewart),Ideals of painting and the study of painting in general.,,"81 X54, pp. 23,",NAT HOME READING UNION,Nov. '17
"Dickens (Charles)-A Christmas carol. Cheap ed. 12mo. 7X 41, pp 217, is 3d. net C. H. KELLY, Sep. '17",60,68,,Dickens (Charles),A Christmas carol. Cheap ed.,12mo.,"7X 41, pp 217, is 3d. net",C. H. KELLY,Sep. '17
