original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Murdoch (w. G. Burn)-Modern whaling and bear-hunting: a record of present-day whaling with up-to-date appliances in many parts of the world, and of bear and seal hunting in the Arctic regions. 8vo. 9 X 5), pp. 320, 218. net SEELEY, S., Sep. '17",154,162,,Murdoch (w. G. Burn),"Modern whaling and bear-hunting: a record of present-day whaling with up-to-date appliances in many parts of the world, and of bear and seal hunting in the Arctic regions.",8vo.,"9 X 5), pp. 320, 218. net","SEELEY, S.",Sep. '17
"Murford (Nicholas)-Nicholas Murford's Frag. menta poetica, 1650. Facsim. repr. w. notes by E. M. Beloe. 11 X 81, pp. 92, 55. (King's Lynn) GREENLAND FISHERY MUSEUM, Feb. 17",154,162,,Murford (Nicholas),"Nicholas Murford's Frag. menta poetica, 1650. Facsim. repr. w. notes by E. M. Beloe.",,"11 X 81, pp. 92, 55. (King's Lynn)",GREENLAND FISHERY MUSEUM,Feb. 17
"Murphy (Charles J.)- American Indian corn (maize), a chcap, wholesome, and nutritious food : 150 ways to prepare and cook it. Rev. 2nd ed., w. many new recipes, by Jeannette Young Norton. 75 X 5, pp. 141, 3s. net PUTNAM, Oct. '17",154,162,,Murphy (Charles J.),"American Indian corn (maize), a chcap, wholesome, and nutritious food : 150 ways to prepare and cook it. Rev. 2nd ed., w. many new recipes, by Jeannette Young Norton.",,"75 X 5, pp. 141, 3s. net",PUTNAM,Oct. '17
"Murray (Andrew, Rev.)- Back to Pentecost : tre fiilfilment of "" The Promise of the Father Cr. 8vo. 71 X 48, pp. 106, 25. net OLIPHANTS, Nov. 17",154,162,,"Murray (Andrew, Rev.)","Back to Pentecost : tre fiilfilment of "" The Promise of the Father",Cr. 8vo.,"71 X 48, pp. 106, 25. net",OLIPHANTS,Nov. 17
"Murray (Charles)-A Sough o' war. Cr. o. 77X48, pp. 56, 25. net, swd, is. net CONSTABLE, Jun 17",154,162,,Murray (Charles),A Sough o' war.,Cr. o.,"77X48, pp. 56, 25. net, swd, is. net",CONSTABLE,Jun 17
"Murray (Charles)-Hamewith. Intro. by Andrew Lang. Illus. by A. S. Boyd. Kyl. 8 81x7, pp. 155, 6s. net ..CONSTABLE, Nov. 17",154,162,,Murray (Charles),Hamewith. Intro. by Andrew Lang. Illus. by A. S. Boyd.,Kyl. 8,"81x7, pp. 155, 6s. net ..",CONSTABLE,Nov. 17
"Murray (Charlotte)---More ""messages.' Cr. 8vo. 73x5, pp. 158, Is. 6d. DRUMMOND'S TRACT DEPOT, June 17",154,162,,Murray (Charlotte),"More ""messages.'",Cr. 8vo.,"73x5, pp. 158, Is. 6d.",DRUMMOND'S TRACT DEPOT,June 17
"Murray (Eunice G.)-The Hidden tragedy. Cr. 8vo. 7* X 4, pp. 267, 2s. net, . DANIEL, Od. '17",154,162,,Murray (Eunice G.),The Hidden tragedy.,Cr. 8vo.,"7* X 4, pp. 267, 2s. net, .",DANIEL,Od. '17
"Murray (Gilbert)-- The Way forward : three articles on Liberal policy. Pref. by the Rt. Hon. Visc. Grey of Fallodon. 8vo. pp. 43, swd. iS. net . ALLEN & U., Dec. '17",154,162,,Murray (Gilbert),The Way forward : three articles on Liberal policy. Pref. by the Rt. Hon. Visc. Grey of Fallodon.,8vo.,"pp. 43, swd. iS. net .",ALLEN & U.,Dec. '17
"Murray (Gilbert)-Great Britain's sea policy : a reply to an American critic. Repr. fr. “The Atlantic Monthly."" Cr. 8vo. 71 x 44, pp. 35, swd. 20. .UNWIN, Sep. '17",154,162,,Murray (Gilbert),"Great Britain's sea policy : a reply to an American critic. Repr. fr. “The Atlantic Monthly.""",Cr. 8vo.,"71 x 44, pp. 35, swd. 20. .",UNWIN,Sep. '17
